M_sun,Lambda
1.228141524860335343e+00,0.000000000000000000e+00
1.230438479608938263e+00,0.000000000000000000e+00
1.232735434357541848e+00,0.000000000000000000e+00
1.235032389106145212e+00,0.000000000000000000e+00
1.237329343854748576e+00,0.000000000000000000e+00
1.239626298603351939e+00,0.000000000000000000e+00
1.241923253351955303e+00,0.000000000000000000e+00
1.244220208100558667e+00,0.000000000000000000e+00
1.246517162849162030e+00,0.000000000000000000e+00
1.248814117597765394e+00,0.000000000000000000e+00
1.251111072346368758e+00,0.000000000000000000e+00
1.253408027094972121e+00,0.000000000000000000e+00
1.255704981843575485e+00,0.000000000000000000e+00
1.258001936592178627e+00,0.000000000000000000e+00
1.260298891340782212e+00,0.000000000000000000e+00
1.262595846089385354e+00,0.000000000000000000e+00
1.264892800837988940e+00,0.000000000000000000e+00
1.267189755586592081e+00,0.000000000000000000e+00
1.269486710335195445e+00,0.000000000000000000e+00
1.271783665083798809e+00,0.000000000000000000e+00
1.274080619832402173e+00,0.000000000000000000e+00
1.276377574581005536e+00,0.000000000000000000e+00
1.278674529329608900e+00,0.000000000000000000e+00
1.280971484078212264e+00,0.000000000000000000e+00
1.283268438826815405e+00,0.000000000000000000e+00
1.285565393575418991e+00,0.000000000000000000e+00
1.287862348324022577e+00,0.000000000000000000e+00
1.290159303072625718e+00,0.000000000000000000e+00
1.292456257821229082e+00,0.000000000000000000e+00
1.294753212569832446e+00,0.000000000000000000e+00
1.297050167318435809e+00,0.000000000000000000e+00
1.299347122067039173e+00,0.000000000000000000e+00
1.301644076815642315e+00,0.000000000000000000e+00
1.303941031564245900e+00,0.000000000000000000e+00
1.306237986312849042e+00,0.000000000000000000e+00
1.308534941061452628e+00,0.000000000000000000e+00
1.310831895810055769e+00,0.000000000000000000e+00
1.313128850558659133e+00,0.000000000000000000e+00
1.315425805307262497e+00,0.000000000000000000e+00
1.317722760055865860e+00,0.000000000000000000e+00
1.320019714804469224e+00,0.000000000000000000e+00
1.322316669553072588e+00,0.000000000000000000e+00
1.324613624301675952e+00,0.000000000000000000e+00
1.326910579050279315e+00,0.000000000000000000e+00
1.329207533798882679e+00,0.000000000000000000e+00
1.331504488547486043e+00,0.000000000000000000e+00
1.333801443296089406e+00,0.000000000000000000e+00
1.336098398044692770e+00,0.000000000000000000e+00
1.338395352793296134e+00,0.000000000000000000e+00
1.340692307541899497e+00,0.000000000000000000e+00
1.342989262290502861e+00,0.000000000000000000e+00
1.345286217039106003e+00,0.000000000000000000e+00
1.347583171787709588e+00,0.000000000000000000e+00
1.349880126536312730e+00,0.000000000000000000e+00
1.350837220911727865e+00,0.000000000000000000e+00
1.352177081284916316e+00,0.000000000000000000e+00
1.354474036033519457e+00,0.000000000000000000e+00
1.356770990782122821e+00,0.000000000000000000e+00
1.358349004777503755e+00,0.000000000000000000e+00
1.359067945530726185e+00,0.000000000000000000e+00
1.361364900279329548e+00,7.079144529152330279e-01
1.362529655158556174e+00,1.013767516268160307e+01
1.363661855027932912e+00,2.083890994813298647e+01
1.365283770673371144e+00,3.883358847709496331e+01
1.365958809776536276e+00,4.837230398093932138e+01
1.367188223924320045e+00,6.752950179150832355e+01
1.368255764525139639e+00,9.088853993955974886e+01
1.368490560632632747e+00,9.622541510592179748e+01
1.369374750305322408e+00,1.249213284203351577e+02
1.369898179460101728e+00,1.536172417347486316e+02
1.370142656809359094e+00,1.823131550491619919e+02
1.370163188757740125e+00,2.110090683635753521e+02
1.369998284698019875e+00,2.397049816779888260e+02
1.369677070991949908e+00,2.684008949924021863e+02
1.369224647293175279e+00,2.970968083068156602e+02
1.368666172252531732e+00,3.257927216212290205e+02
1.368255764525139639e+00,3.445800021827830051e+02
1.368045033193667992e+00,3.544886349356423807e+02
1.367408210447340178e+00,3.831845482500558546e+02
1.366753146296345145e+00,4.118804615644692149e+02
1.366097110085063626e+00,4.405763748788825751e+02
1.365958809776536054e+00,4.468534854913120853e+02
1.365467905102542456e+00,4.692722881932960490e+02
1.364835430226772672e+00,4.979682015077095230e+02
1.364169492095952396e+00,5.266641148221227695e+02
1.363661855027932912e+00,5.470022472579883015e+02
1.363448542101518113e+00,5.553600281365362434e+02
1.362661567702519116e+00,5.840559414509497174e+02
1.361794913458150846e+00,6.127518547653631913e+02
1.361364900279329326e+00,6.264050271462992896e+02
1.360861307241509444e+00,6.414477680797764378e+02
1.359894026217560503e+00,6.701436813941899118e+02
1.359067945530726185e+00,6.951302427956356951e+02
1.358933258163975033e+00,6.988395947086033857e+02
1.357987512269994701e+00,7.275355080230166323e+02
1.357107588517792784e+00,7.562314213374301062e+02
1.356770990782122821e+00,7.682911613247567857e+02
1.356245151157259965e+00,7.849273346518435801e+02
1.355379224128129056e+00,8.136232479662568267e+02
1.354491077281070766e+00,8.423191612806704143e+02
1.354474036033519457e+00,8.428511732111594483e+02
1.353415151484596457e+00,8.710150745950837745e+02
1.352229217525529714e+00,8.997109879094973621e+02
1.352177081284916316e+00,9.008941857547760037e+02
1.350704967573375104e+00,9.284069012239103813e+02
