R_km,M_sun
1.054672664008198879e+01,1.362387099207915453e+00
1.061700354855978290e+01,1.361497658294017477e+00
1.068728045703757878e+01,1.360959197483998517e+00
1.075755736551537289e+01,1.360755387950360662e+00
1.082783427399316878e+01,1.360871313945528405e+00
1.089811118247096289e+01,1.361290521199301162e+00
1.096838809094875877e+01,1.361991195412279865e+00
1.103866499942655466e+01,1.362943061553708368e+00
1.105586793511856314e+01,1.363218620486976285e+00
1.110894190790434877e+01,1.364092232371964419e+00
1.117921881638214465e+01,1.365398836938809035e+00
1.121777856615445756e+01,1.366165903946716886e+00
1.124949572485993876e+01,1.366822080423877539e+00
1.131977263333773465e+01,1.368329058394937014e+00
1.135549420523750719e+01,1.369113187406457488e+00
1.139004954181552876e+01,1.369912751155911490e+00
1.146032645029332464e+01,1.371563675995941534e+00
1.148170509530003613e+01,1.372060470866198090e+00
1.153060335877112053e+01,1.373281638055288578e+00
1.160088026724891463e+01,1.375007754325938691e+00
1.160088026724891463e+01,1.375007754325938691e+00
1.167115717572671052e+01,1.376711410057205986e+00
1.172962640326972839e+01,1.377955037785679293e+00
1.174143408420450463e+01,1.378231942405635513e+00
1.181171099268230051e+01,1.379511590746125727e+00
1.188198790116009462e+01,1.380429183803557391e+00
1.193922586256666030e+01,1.380902321245419895e+00
1.195226480963789051e+01,1.381020596246595566e+00
1.202254171811568462e+01,1.381384061830158494e+00
1.209281862659348050e+01,1.381606185666817810e+00
1.216309553507127461e+01,1.381801601802713275e+00
1.223337244354907050e+01,1.382048329062664838e+00
1.230364935202686638e+01,1.382379128100321264e+00
1.237392626050466049e+01,1.382793587704076232e+00
1.244420316898245460e+01,1.383284933695379415e+00
1.251217147146917519e+01,1.383849604705160496e+00
1.251448007746025048e+01,1.383870171468761345e+00
1.258475698593804637e+01,1.384663194633305894e+00
1.265503389441584048e+01,1.385751827913378920e+00
1.270229693609619659e+01,1.386796888164901098e+00
1.272531080289363636e+01,1.387391921827041630e+00
1.278854329252129141e+01,1.389744171624641478e+00
1.279558771137143047e+01,1.390067665540689390e+00
1.283796566235503711e+01,1.392691455084382079e+00
1.286586461984922636e+01,1.394948324376718229e+00
1.287267450568901062e+01,1.395638738544122681e+00
1.289566179287794867e+01,1.398586022003863283e+00
1.291286045842927699e+01,1.401533305463603885e+00
1.292547039969677947e+01,1.404480588923344486e+00
1.293439803355181361e+01,1.407427872383085088e+00
1.293614152832702224e+01,1.408272136763988325e+00
1.293998805353244741e+01,1.410375155842825690e+00
1.294320454710478785e+01,1.413322439302566513e+00
1.294453353088114689e+01,1.416269722762306893e+00
1.294423883051640800e+01,1.419217006222047717e+00
1.294253121789309091e+01,1.422164289681788096e+00
1.293958021227338229e+01,1.425111573141528698e+00
1.293614152832702224e+01,1.427600774440867859e+00
1.293548912275546670e+01,1.428058856601269078e+00
1.293020026499748631e+01,1.431006140061009679e+00
1.292401493413108327e+01,1.433953423520750281e+00
1.291700533601169276e+01,1.436900706980490883e+00
1.290921638407937344e+01,1.439847990440231484e+00
1.290066783562573072e+01,1.442795273899972086e+00
1.289135724043867093e+01,1.445742557359712466e+00
1.288126383295992738e+01,1.448689840819453289e+00
1.287035333286664951e+01,1.451637124279193891e+00
1.286586461984922813e+01,1.452756855986812479e+00
1.285837258390032467e+01,1.454584407738934493e+00
1.284545092332765925e+01,1.457531691198675095e+00
1.283172424948414303e+01,1.460478974658415474e+00
1.281717980703585269e+01,1.463426258118156076e+00
1.280181611499956418e+01,1.466373541577896678e+00
1.279558771137143047e+01,1.467513307300010172e+00
1.278519613085054907e+01,1.469320825037637279e+00
