Mchirp_Msun,LambdaTilde
1.433376642063481032e+00,1.726159155117847988e+01
1.433946290303034221e+00,1.676612277313914845e+01
1.434515938542587632e+00,1.636631501975185898e+01
1.435085586782140821e+00,1.605776846638792321e+01
1.435655235021694232e+00,1.583371389187637313e+01
1.436224883261247420e+00,1.568849754156442167e+01
1.436794531500800609e+00,1.561969533177266811e+01
1.437364179740354242e+00,1.562904605934484259e+01
1.437933827979907209e+00,1.572243421820792975e+01
1.438503476219460397e+00,1.590906421765645185e+01
1.439073124459014030e+00,1.619992737718118647e+01
1.439642772698566997e+00,1.660577525121932752e+01
1.440212420938120408e+00,1.713505810593068190e+01
1.440782069177673597e+00,1.779253326661784840e+01
1.440797622527310917e+00,1.781373617901681428e+01
1.441351717417226785e+00,1.843426956336667288e+01
1.441921365656780196e+00,1.917876706473287385e+01
1.442491013896333385e+00,2.003085190465889909e+01
1.443060662135886796e+00,2.099626002377431178e+01
1.443630310375439985e+00,2.208862544779416126e+01
1.444199958614993173e+00,2.333018181238092126e+01
1.444769606854546584e+00,2.474936051780277424e+01
1.445339255094099773e+00,2.637549270139435009e+01
1.445908903333653184e+00,2.823195052270115823e+01
1.446478551573206373e+00,3.032980275835157258e+01
1.447048199812759561e+00,3.266414138536188005e+01
1.447617848052312972e+00,3.521460065257127070e+01
1.448187496291866161e+00,3.795037199192753263e+01
1.448757144531419794e+00,4.083855954305994373e+01
1.449326792770972983e+00,4.385355344264301181e+01
1.449896441010525949e+00,4.698475092507601403e+01
1.449896441010525949e+00,4.698475092507601403e+01
1.450466089250079360e+00,4.972870120081067569e+01
1.451035737489632549e+00,5.258530589909176456e+01
1.451605385729185960e+00,5.559446745051707239e+01
1.452175033968739148e+00,5.880536708668656587e+01
1.452744682208292337e+00,6.227250126931747332e+01
1.453314330447845748e+00,6.605365974596240619e+01
1.453883978687398937e+00,7.021028430975967183e+01
1.454453626926952348e+00,7.480988598482626628e+01
1.454608587194707425e+00,7.615576567113521378e+01
1.455023275166505536e+00,7.951996567138628791e+01
1.455592923406058725e+00,8.463128171439960568e+01
1.456162571645612136e+00,9.038623323464749149e+01
1.456732219885165547e+00,9.689520438306840333e+01
1.457301868124718736e+00,1.042856126764789906e+02
1.457376218663412493e+00,1.053267804171944135e+02
1.457871516364271924e+00,1.123829564012423390e+02
1.458441164603825113e+00,1.215934175256957417e+02
1.459010812843378524e+00,1.321657371137544601e+02
1.459126684224556714e+00,1.344977951632536133e+02
1.459580461082931713e+00,1.447173479536559739e+02
1.460150109322485124e+00,1.593867110471997535e+02
1.460302455006539546e+00,1.636688099093128130e+02
1.460719757562038312e+00,1.783594498129909027e+02
1.461090785825690963e+00,1.928398246553720128e+02
1.461289405801591501e+00,2.039452667768683511e+02
1.461595638469428193e+00,2.220108394014310988e+02
1.461859054041145134e+00,2.491079065992876451e+02
1.461879145968494997e+00,2.511818541474902702e+02
1.461996669602208643e+00,2.803528688935494984e+02
1.461974705715452183e+00,3.095238836396086981e+02
1.461859054041144912e+00,3.343939334708754245e+02
1.461839450843875676e+00,3.386948983856678979e+02
1.461610838065911855e+00,3.678659131317270976e+02
1.461289405801591501e+00,3.961577408554003910e+02
1.461278904126497302e+00,3.970369278777862974e+02
1.460832683872448134e+00,4.262079426238454971e+02
1.460719757562038312e+00,4.321808781034641811e+02
1.460231700801947197e+00,4.553789573699047537e+02
1.460150109322485124e+00,4.587070496311153533e+02
1.459580461082931713e+00,4.797342327697843416e+02
1.459435849982712030e+00,4.845499721159638966e+02
1.459010812843378746e+00,4.977408231977627224e+02
1.458446417512524684e+00,5.137209868620230964e+02
1.458441164603825335e+00,5.138673591516068200e+02
1.457871516364271924e+00,5.295091519292736848e+02
1.457365673354100721e+00,5.428920016080822961e+02
1.457301868124718958e+00,5.446287487051780545e+02
1.456732219885165325e+00,5.603281110260915057e+02
1.456301579443485039e+00,5.720630163541414959e+02
1.456162571645612136e+00,5.760196205774656164e+02
1.455592923406058725e+00,5.922272951088336868e+02
1.455267782268591992e+00,6.012340311002004682e+02
1.455023275166505536e+00,6.083525013312048486e+02
1.454453626926952348e+00,6.241975328362339042e+02
1.454215104662884839e+00,6.304050458462596680e+02
1.453883978687398937e+00,6.396067581104781539e+02
1.453314330447845748e+00,6.538508963318764700e+02
1.453054123578083612e+00,6.595760605923188677e+02
1.452744682208292337e+00,6.670609505008617361e+02
1.452175033968739148e+00,6.787872890707586748e+02
1.451605385729185960e+00,6.882540159616623896e+02
1.451569021309511820e+00,6.887470753383780675e+02
1.451035737489632549e+00,6.970695756011319872e+02
1.450466089250079360e+00,7.039550316507223897e+02
1.449896441010525949e+00,7.091838058247434446e+02
1.449326792770972760e+00,7.131372141206772994e+02
1.448757144531419572e+00,7.161753821606215524e+02
1.448353081937793219e+00,7.179180900844372673e+02
1.448187496291866161e+00,7.187905605547867935e+02
1.447617848052312972e+00,7.214109202575604058e+02
1.447048199812759561e+00,7.237996548777244925e+02
1.446478551573206373e+00,7.261227383014270345e+02
1.445908903333653184e+00,7.285160118635714070e+02
1.445339255094099773e+00,7.310991307089717566e+02
1.444769606854546584e+00,7.339779108777929650e+02
1.444199958614993173e+00,7.372353389845567335e+02
1.443630310375439985e+00,7.409158532837586790e+02
1.443060662135886796e+00,7.450095636483871431e+02
1.442794277483199217e+00,7.470891048304964670e+02
1.442491013896333607e+00,7.499229887200723397e+02
1.441921365656780418e+00,7.554221229266772752e+02
1.441351717417226785e+00,7.608539518346842669e+02
1.440782069177673597e+00,7.660117319130663418e+02
1.440212420938120408e+00,7.707133212581795760e+02
1.439642772698566997e+00,7.748235441275238600e+02
1.439405154113324814e+00,7.762601195765556668e+02
1.439073124459014030e+00,7.786218682928462158e+02
1.438503476219460397e+00,7.818952618343091672e+02
1.437933827979907209e+00,7.844507961853528286e+02
1.437364179740354020e+00,7.863736756542384683e+02
1.436794531500800609e+00,7.877599525610489763e+02
1.436224883261247420e+00,7.887036770105058849e+02
1.435655235021694232e+00,7.892870205931689043e+02
1.435085586782140821e+00,7.895737296937097653e+02
1.434515938542587632e+00,7.896053507841889996e+02
1.433946290303034221e+00,7.893991492327169226e+02
1.433376642063481032e+00,7.889470089685057701e+02
1.432806993823927844e+00,7.882157318447888201e+02
1.432237345584374433e+00,7.871503891583637369e+02
1.431667697344821244e+00,7.856829099587361043e+02
1.431098049105267833e+00,7.837473606544169797e+02
1.430528400865714644e+00,7.813012947691030377e+02
1.429958752626161456e+00,7.783495819002574763e+02
1.429605021374510176e+00,7.762601195765556668e+02
1.429389104386608045e+00,7.752331144471343123e+02
1.428819456147054856e+00,7.723176844987679033e+02
1.428249807907501445e+00,7.693256867072301475e+02
1.427680159667948256e+00,7.664341332231996375e+02
1.427110511428395068e+00,7.638010828569136947e+02
1.426540863188841657e+00,7.615233301469428397e+02
1.425971214949288468e+00,7.596031952380458279e+02
1.425401566709735057e+00,7.579337727627145114e+02
1.424831918470181868e+00,7.563044467688431496e+02
1.424262270230628680e+00,7.544209132803418925e+02
1.423692621991075269e+00,7.519305942047719782e+02
1.423122973751522080e+00,7.484457143583608740e+02
1.422963197560202175e+00,7.470891048304964670e+02
1.422553325511968669e+00,7.441569117886060667e+02
1.421983677272415481e+00,7.385422121766323471e+02
1.421414029032862292e+00,7.309936771910561220e+02
1.420844380793308881e+00,7.211272245707867796e+02
1.420694098327677901e+00,7.179180900844372673e+02
1.420274732553755692e+00,7.097301199998162247e+02
1.419705084314202281e+00,6.958444304715955013e+02
1.419461142087385941e+00,6.887470753383780675e+02
1.419135436074649093e+00,6.794138006895846047e+02
1.418565787835096126e+00,6.598699393123876007e+02
1.418558106671232499e+00,6.595760605923188677e+02
1.417996139595542493e+00,6.369780033164261113e+02
1.417849798687008667e+00,6.304050458462596680e+02
1.417426491355989304e+00,6.098275182186284837e+02
1.417261449655840666e+00,6.012340311002004682e+02
1.416856843116435893e+00,5.785782235523903410e+02
1.416744028493022611e+00,5.720630163541414959e+02
1.416287194876882705e+00,5.447168940042323584e+02
1.416256837492987364e+00,5.428920016080822961e+02
1.415768095146845873e+00,5.137209868620230964e+02
1.415717546637329516e+00,5.107522996546292688e+02
1.415270750118452714e+00,4.845499721159638966e+02
1.415147898397776105e+00,4.772768943279372706e+02
1.414781694477468488e+00,4.553789573699046969e+02
1.414578250158222916e+00,4.423779558483717551e+02
1.414329948422118122e+00,4.262079426238454971e+02
1.414008601918669505e+00,4.020181287049188086e+02
1.413943419552933012e+00,3.970369278777862974e+02
1.413627684474337842e+00,3.678659131317270976e+02
1.413438953679116317e+00,3.438106370958721527e+02
1.413398164583717698e+00,3.386948983856678979e+02
1.413241999734623056e+00,3.095238836396086981e+02
1.413172949988724891e+00,2.803528688935494984e+02
1.413197595755665059e+00,2.511818541474902986e+02
1.413335633985440154e+00,2.220108394014310988e+02
1.413438953679116317e+00,2.111815313908367955e+02
1.413610545913442929e+00,1.928398246553720128e+02
1.414008601918669505e+00,1.676818681474343862e+02
1.414074182018283610e+00,1.636688099093128130e+02
1.414578250158222916e+00,1.423636725551936308e+02
1.414781558031111830e+00,1.344977951632536133e+02
1.415147898397776327e+00,1.234189128484271407e+02
1.415717546637329516e+00,1.082045191254073586e+02
1.415834555454666743e+00,1.053267804171944135e+02
1.416287194876882705e+00,9.554543534767812218e+01
1.416856843116435893e+00,8.476507672907318636e+01
1.417384573298503314e+00,7.615576567113521378e+01
1.417426491355989304e+00,7.548887101374654662e+01
1.417996139595542493e+00,6.705003592074251628e+01
1.418565787835095904e+00,5.981241348377772482e+01
1.419135436074649093e+00,5.361949924356746067e+01
1.419705084314202281e+00,4.832432847153035027e+01
1.419867670923518732e+00,4.698475092507601403e+01
1.420274732553755692e+00,4.331366159617770251e+01
1.420844380793308881e+00,3.884532582589358896e+01
1.421414029032862292e+00,3.500356681652300495e+01
1.421983677272415481e+00,3.169714047146237235e+01
1.422553325511968669e+00,2.886353738360106647e+01
1.423122973751522080e+00,2.646747023872088178e+01
1.423692621991075269e+00,2.449425189192720964e+01
1.424262270230628680e+00,2.293909985219133318e+01
1.424831918470181868e+00,2.179461241565108409e+01
1.425401566709735057e+00,2.103919231894922248e+01
1.425971214949288468e+00,2.062898878672757164e+01
1.426540863188841657e+00,2.049524007740271614e+01
1.427110511428395068e+00,2.054795732501555605e+01
1.427680159667948256e+00,2.068570718249388563e+01
1.428249807907501445e+00,2.080976738017855610e+01
1.428819456147054856e+00,2.083938396734026455e+01
1.429389104386608045e+00,2.072395274121784325e+01
1.429958752626161456e+00,2.044847837203710839e+01
1.430528400865714644e+00,2.003079924000383727e+01
1.431098049105267833e+00,1.951194153897613148e+01
1.431667697344821244e+00,1.894316092358041814e+01
1.432237345584374433e+00,1.837375476116455175e+01
1.432806993823927844e+00,1.784262813023823568e+01
1.432841797088907354e+00,1.781373617901681428e+01
1.433376642063481032e+00,1.726159155117847988e+01
