R_km,M_sun
9.787486094125220859e+00,1.253408094224490288e+00
9.865942068531659004e+00,1.252549413778643927e+00
9.944398042938097149e+00,1.252075799086980634e+00
1.002285401734453352e+01,1.251990927639849538e+00
1.010130999175097166e+01,1.252290385511532822e+00
1.017976596615740803e+01,1.252963127672179100e+00
1.023680457839829216e+01,1.253700852537678267e+00
1.025822194056384618e+01,1.253964585110372232e+00
1.033667791497028432e+01,1.255192922726466209e+00
1.041513388937672246e+01,1.256697712921236443e+00
1.045811505925856011e+01,1.257650692215353194e+00
1.049358986378316061e+01,1.258392535607790297e+00
1.057204583818959875e+01,1.260240777308951010e+00
1.062311377711059812e+01,1.261600531893028121e+00
1.065050181259603512e+01,1.262269813019689657e+00
1.072895778700247149e+01,1.264356237358175150e+00
1.077104975103480200e+01,1.265550371570703048e+00
1.080741376140890964e+01,1.266464491146620963e+00
1.088586973581534778e+01,1.268442184941966477e+00
1.093030070915111374e+01,1.269500211248377974e+00
1.096432571022178593e+01,1.270202233679545323e+00
1.104278168462822407e+01,1.271609242200131273e+00
1.112123765903466222e+01,1.272739927070591914e+00
1.118761923118452550e+01,1.273450050926052679e+00
1.119969363344109858e+01,1.273563173925690517e+00
1.127814960784753673e+01,1.274092180216056081e+00
1.135660558225397310e+01,1.274494506596139498e+00
1.143506155666041124e+01,1.274866586302674243e+00
1.151351753106684939e+01,1.275304982368469009e+00
1.159197350547328753e+01,1.275900219572940752e+00
1.167042947987972568e+01,1.276740025951847102e+00
1.171601412149813015e+01,1.277399890603727606e+00
1.174888545428616204e+01,1.277852676142983146e+00
1.182734142869260019e+01,1.279238285425357002e+00
1.190579740309903656e+01,1.281020287407435676e+00
1.191865090057446253e+01,1.281349730281402532e+00
1.198425337750547470e+01,1.282955132209657290e+00
1.206270935191191285e+01,1.285091182059666881e+00
1.207056732270500987e+01,1.285299569959077459e+00
1.214116532631835099e+01,1.287053194576414761e+00
1.221962130072478914e+01,1.288887745877061786e+00
1.223811479021219917e+01,1.289249409636752386e+00
1.229807727513122373e+01,1.290331218255634349e+00
1.237653324953766365e+01,1.291472483868820298e+00
1.245498922394410002e+01,1.292400535245394888e+00
1.252983791704555294e+01,1.293199249314427313e+00
1.253344519835053816e+01,1.293235220444342692e+00
1.261190117275697631e+01,1.294066317195904370e+00
1.269035714716341445e+01,1.295139251594112251e+00
1.276881312156985260e+01,1.296608349759945655e+00
1.279119437131866910e+01,1.297149088992102239e+00
1.284726909597628897e+01,1.298481361119002253e+00
1.292572507038272889e+01,1.300857484272540665e+00
1.293263704395296898e+01,1.301098928669776944e+00
1.300418104478916348e+01,1.303614963712236730e+00
1.304080443653078802e+01,1.305048768347452093e+00
1.308263701919560162e+01,1.306740735238356432e+00
1.313648731339641351e+01,1.308998608025126797e+00
1.316109299360203977e+01,1.310092256973397484e+00
1.322728156270987299e+01,1.312948447702801724e+00
1.323954896800847791e+01,1.313520284677609062e+00
