rho_fm3,lower,upper
9.118906527810398876e-04,6.499999910593018404e-01,6.500000089406953174e-01
2.783968389212634550e-02,5.184019957938960310e+00,5.215025052782530146e+00
5.476747713147165492e-02,7.090331778388422990e+00,7.538050723481179105e+00
8.169527037081696086e-02,8.905236027543979915e+00,9.837324881992925540e+00
1.086230636101622599e-01,1.083585889640376188e+01,1.231882289165836220e+01
1.355508568495075727e-01,1.291187732921422437e+01,1.506172449980703831e+01
1.624786500888528995e-01,1.501894663128024909e+01,1.805442894467867632e+01
1.894064433281981985e-01,1.718148815382745198e+01,2.117178863204726724e+01
2.163342365675434975e-01,1.938430030766887668e+01,2.436763319045061493e+01
2.432620298068887965e-01,2.156080133370090479e+01,2.753638106788489281e+01
2.701898230462340678e-01,2.371588900000008593e+01,3.067422099999987140e+01
