rho_fm3,lower,upper
5.000000000000000278e-02,6.793041020000000429e+00,7.395544349999999767e+00
6.099999999999999867e-02,7.570910729999999589e+00,8.462311039999999451e+00
7.199999999999999456e-02,8.343550860000000569e+00,9.336675440000000492e+00
8.300000000000000433e-02,9.045765140000000315e+00,1.026811771000000029e+01
9.400000000000000022e-02,9.743665310000000801e+00,1.123196412000000066e+01
1.049999999999999961e-01,1.043888150999999986e+01,1.223637010000000025e+01
1.160000000000000059e-01,1.114027162000000004e+01,1.329504670000000033e+01
1.270000000000000018e-01,1.184778586999999916e+01,1.441355788000000082e+01
1.380000000000000115e-01,1.255464734999999976e+01,1.559735307000000049e+01
1.489999999999999936e-01,1.327283762000000067e+01,1.685815776999999827e+01
1.600000000000000033e-01,1.399407266000000050e+01,1.819505786999999941e+01
