rho_fm3,lower,upper
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.103448275862069054e-02,7.350160603233169887e+00,3.948159594128896721e+00
2.206896551724138109e-02,1.090264752602718445e+01,6.830213031435441451e+00
3.310344827586206989e-02,1.374266318507772056e+01,9.442904468258687345e+00
4.413793103448276217e-02,1.620226088459335756e+01,1.190000269815823408e+01
5.517241379310345445e-02,1.841358864362773318e+01,1.424998434285435600e+01
6.620689655172413979e-02,2.044569182857864575e+01,1.651939615794447747e+01
7.724137931034483207e-02,2.234018369766116052e+01,1.872483313370593550e+01
8.827586206896552434e-02,2.412450262581873517e+01,2.087757206267401244e+01
9.931034482758621662e-02,2.581790234581194809e+01,2.298573214719859692e+01
1.103448275862069089e-01,2.743452675146395947e+01,2.505541349372613524e+01
1.213793103448276012e-01,2.898513829066244796e+01,2.709135168818632167e+01
1.324137931034482796e-01,3.047815829144258615e+01,2.909731970139286616e+01
1.434482758620689857e-01,3.192032756371977342e+01,3.107638768276835606e+01
1.544827586206896641e-01,3.331714435603544189e+01,3.303109799854465933e+01
1.655172413793103703e-01,3.467316520153435988e+01,3.496358726169992082e+01
1.765517241379310487e-01,3.599221782583705931e+01,3.687567387852277534e+01
1.875862068965516993e-01,3.727755569032228777e+01,3.876892240647822518e+01
1.986206896551724332e-01,3.853197264881193718e+01,4.064469187034919884e+01
2.096551724137931116e-01,3.975788964705748185e+01,4.250417270545654702e+01
2.206896551724138178e-01,4.095742138844460101e+01,4.434841546335742635e+01
2.317241379310344962e-01,4.213242836115462353e+01,4.617835343726916619e+01
2.427586206896552024e-01,4.328455798219531658e+01,4.799482072358528484e+01
2.537931034482758808e-01,4.441527752397482232e+01,4.979856680587842988e+01
2.648275862068965592e-01,4.552590074907083562e+01,5.159026845314803467e+01
2.758620689655172376e-01,4.661760966644706627e+01,5.337053951829945930e+01
2.868965517241379715e-01,4.769147246129651307e+01,5.513993907664709582e+01
2.979310344827586499e-01,4.874845839216587251e+01,5.689897823873742055e+01
3.089655172413793283e-01,4.978945026120446471e+01,5.864812589456995795e+01
3.200000000000000067e-01,5.081525492511330810e+01,6.038781358903490570e+01
