R_km,M_sun
1.008892487144929540e+01,1.119656018951563636e+00
1.014740162459002448e+01,1.119277316975984871e+00
1.020587837773075535e+01,1.119223624334269251e+00
1.026435513087148621e+01,1.119489797783650431e+00
1.032283188401221707e+01,1.120061611470378748e+00
1.034026506517643362e+01,1.120320576547662483e+00
1.038130863715294794e+01,1.120912235737388851e+00
1.043978539029367880e+01,1.122017737993110886e+00
1.046031108192737058e+01,1.122490008391800131e+00
1.049826214343440967e+01,1.123349438940987710e+00
1.054807609108551247e+01,1.124659440235938002e+00
1.055673889657514053e+01,1.124885265216739150e+00
1.061521564971587139e+01,1.126604406850753248e+00
1.062215326635706347e+01,1.126828872080075650e+00
1.067369240285660226e+01,1.128497811691900887e+00
1.068789798753117459e+01,1.128998303924213520e+00
1.073216915599733312e+01,1.130566021721659542e+00
1.074788727770731889e+01,1.131167735768351168e+00
1.079064590913806576e+01,1.132819578220347623e+00
1.080307698164059893e+01,1.133337167612489038e+00
1.084912266227879485e+01,1.135280434148976614e+00
1.085410514336651566e+01,1.135506599456626908e+00
1.090111343814806943e+01,1.137676031300764556e+00
1.090759941541952571e+01,1.137980818989987153e+00
1.094453401904267409e+01,1.139845463144902205e+00
1.096607616856025658e+01,1.140961297245879358e+00
1.098513948040942623e+01,1.142014894989040075e+00
1.102317017476222105e+01,1.144184326833177945e+00
1.102455292170098744e+01,1.144265193537921554e+00
1.105833788113066340e+01,1.146353758677315593e+00
1.108302967484171830e+01,1.147940878343318261e+00
1.109174121186811668e+01,1.148523190521453241e+00
1.112309150579291028e+01,1.150692622365591111e+00
1.114150642798244917e+01,1.152018010091547362e+00
1.115300299485885027e+01,1.152862054209728981e+00
1.118145139503143959e+01,1.155031486053866630e+00
1.119998318112318003e+01,1.156502794509582044e+00
1.120880767983392268e+01,1.157200917898004278e+00
1.123523163967767147e+01,1.159370349742142148e+00
1.125845993426390912e+01,1.161358602158109266e+00
1.126064100539482915e+01,1.161539781586280018e+00
1.128587763852717885e+01,1.163709213430417666e+00
1.131009555195212712e+01,1.165878645274555314e+00
1.131693668740464176e+01,1.166513117291705370e+00
1.133446603297656274e+01,1.168048077118693184e+00
1.135829919470231886e+01,1.170217508962831054e+00
1.137541344054537262e+01,1.171834566645024278e+00
1.138178987909338957e+01,1.172386940806968703e+00
1.140592235299793522e+01,1.174556372651106351e+00
1.142910635606083147e+01,1.176725804495244221e+00
1.143389019368610349e+01,1.177189757243930046e+00
1.145361098993087623e+01,1.178895236339382091e+00
1.147765669452777004e+01,1.181064668183519739e+00
1.149236694682683435e+01,1.182446417595577781e+00
1.150205204174836027e+01,1.183234100027657609e+00
1.152758558157996305e+01,1.185403531871795257e+00
1.155084369996756521e+01,1.187478280688502696e+00
1.155210464781588797e+01,1.187572963715933128e+00
1.157971777908984379e+01,1.189742395560070776e+00
1.160571589767444500e+01,1.191911827404208646e+00
1.160932045310829608e+01,1.192226421179495510e+00
1.163495225731664462e+01,1.194081259248346516e+00
1.166282944331845073e+01,1.196250691092484164e+00
1.166779720624902694e+01,1.196658724633783866e+00
1.169400736442086419e+01,1.198420122936621812e+00
1.172354163819602135e+01,1.200589554780759682e+00
1.172627395938975781e+01,1.200802694272596893e+00
1.175697670220898949e+01,1.202758986624897330e+00
1.178475071253048867e+01,1.204723040779296150e+00
1.178830041794990358e+01,1.204928418469035201e+00
1.182305048917427470e+01,1.207097850313172849e+00
1.184322746567121953e+01,1.208492830714285482e+00
1.185659051414903864e+01,1.209267282157310719e+00
1.189097434552445165e+01,1.211436714001448367e+00
1.190170421881195040e+01,1.212169518726917028e+00
1.192615896151328414e+01,1.213606145845586237e+00
1.196018097195268126e+01,1.215775577689723885e+00
1.196018097195268126e+01,1.215775577689723885e+00
1.199706394069520776e+01,1.217945009533861755e+00
1.201865772509341213e+01,1.219285575656824161e+00
1.203349304446221879e+01,1.220114441377999404e+00
1.207150927952664432e+01,1.222283873222137274e+00
1.207713447823414299e+01,1.222612685821488965e+00
1.211210579040728774e+01,1.224453305066274922e+00
1.213561123137487208e+01,1.225680155644207403e+00
1.215518963770418814e+01,1.226622736910412792e+00
1.219408798451560472e+01,1.228427901139784284e+00
1.220231911202012576e+01,1.228792168754550440e+00
1.225256473765633558e+01,1.230891745417209249e+00
1.225423213878863749e+01,1.230961600598688310e+00
1.230958139124899375e+01,1.233131032442825958e+00
1.231104149079706644e+01,1.233184250381336833e+00
1.236497986901614432e+01,1.235300464286963829e+00
1.236951824393779731e+01,1.235464648749942995e+00
1.241665247592949406e+01,1.237469896131101477e+00
1.242799499707852817e+01,1.237916217539405173e+00
1.246289980240848294e+01,1.239639327975239347e+00
1.248647175021925904e+01,1.240726516726974094e+00
1.250466291487494530e+01,1.241808759819376995e+00
1.254302632380161242e+01,1.243978191663514865e+00
1.254494850335998990e+01,1.244082112990560152e+00
1.257407502193753857e+01,1.246147623507652513e+00
1.260342525650071899e+01,1.248149951962813864e+00
1.260535197685801201e+01,1.248317055351790383e+00
1.263070768533275334e+01,1.250486487195928031e+00
1.265644870215431084e+01,1.252655919040065902e+00
1.266190200964145163e+01,1.253110330721810772e+00
1.267840752182809005e+01,1.254825350884203550e+00
1.269906570608089957e+01,1.256994782728341420e+00
1.271945139104891176e+01,1.259164214572479068e+00
1.272037876278218249e+01,1.259265243702432979e+00
1.273617186601814666e+01,1.261333646416616938e+00
1.275201348582525895e+01,1.263503078260754586e+00
1.276708320938116792e+01,1.265672510104892456e+00
1.277885551592291158e+01,1.267468592192487975e+00
1.278098233792632676e+01,1.267841941949030327e+00
1.279232231150676213e+01,1.270011373793167975e+00
1.280265492936618266e+01,1.272180805637305845e+00
1.281196978469001557e+01,1.274350237481443493e+00
1.282025534087233076e+01,1.276519669325581141e+00
1.282749538496350539e+01,1.278689101169719011e+00
1.283366473877957148e+01,1.280858533013856881e+00
1.283733226906364422e+01,1.282449132368446376e+00
1.283852783589472679e+01,1.283027964857994530e+00
1.284183569313379003e+01,1.285197396702132178e+00
1.284403483190192929e+01,1.287366828546270048e+00
1.284504803543771523e+01,1.289536260390407696e+00
1.284476009595536361e+01,1.291705692234545788e+00
1.284301573341549663e+01,1.293875124078683214e+00
1.283962423847562206e+01,1.296044555922821084e+00
1.283733226906364244e+01,1.297018411604905275e+00
1.283379773627413023e+01,1.298213987766958954e+00
1.282509554092191806e+01,1.300383419611096603e+00
1.281386215170116571e+01,1.302552851455234251e+00
1.280015031456728813e+01,1.304722283299372121e+00
1.278421872606021203e+01,1.306891715143509991e+00
1.277885551592291336e+01,1.307557666440094746e+00
1.276423586668788879e+01,1.309061146987647639e+00
1.274240249753051835e+01,1.311230578831785065e+00
1.272064691807553594e+01,1.313400010675923157e+00
1.272037876278218249e+01,1.313427217488074783e+00
1.269535521219803265e+01,1.315569442520061028e+00
1.267167033649976737e+01,1.317738874364198898e+00
1.266190200964144985e+01,1.318684614556178136e+00
1.264581495108104647e+01,1.319908306208336324e+00
1.261835257381045139e+01,1.322077738052474194e+00
1.260342525650072076e+01,1.323260350495393922e+00
1.258466112271840665e+01,1.324247169896612064e+00
1.254494850335998990e+01,1.326191124277052991e+00
1.253517473520110670e+01,1.326416601740749712e+00
1.248647175021925904e+01,1.327393060679648906e+00
1.242799499707852640e+01,1.327424807532349593e+00
1.236951824393779731e+01,1.326644617061554232e+00
1.235926779670263898e+01,1.326416601740749712e+00
1.231104149079706644e+01,1.325173606777258373e+00
1.228187317158731595e+01,1.324247169896612064e+00
1.225256473765633558e+01,1.323164295657168088e+00
1.222492495194455131e+01,1.322077738052474194e+00
1.219408798451560472e+01,1.320666949255008493e+00
1.217650500929850210e+01,1.319908306208336324e+00
1.213561123137487563e+01,1.317860478713637651e+00
1.213260544356233339e+01,1.317738874364198676e+00
1.208520861095357191e+01,1.315569442520061028e+00
1.207713447823414299e+01,1.315161476117844508e+00
1.202299717606480911e+01,1.313400010675923157e+00
1.201865772509341213e+01,1.313242243760728067e+00
1.196018097195268126e+01,1.313306041843078864e+00
1.195866507028822667e+01,1.313400010675923157e+00
1.192872556298797093e+01,1.315569442520061028e+00
1.190170421881195040e+01,1.317691013266386157e+00
1.190139738392164936e+01,1.317738874364198676e+00
1.188426316845965580e+01,1.319908306208336324e+00
1.186123833247043358e+01,1.322077738052474194e+00
1.184322746567121953e+01,1.323319033564420932e+00
1.183366467982731152e+01,1.324247169896612064e+00
1.180331733237269987e+01,1.326416601740749712e+00
1.178475071253048867e+01,1.327421731145088879e+00
1.176802660569156345e+01,1.328586033584887360e+00
1.172838813235739686e+01,1.330755465429025231e+00
1.172627395938975781e+01,1.330851785583380575e+00
1.168958003590413064e+01,1.332924897273163101e+00
1.166779720624902694e+01,1.333962778815374950e+00
1.164792683716195754e+01,1.335094329117300749e+00
1.160932045310829608e+01,1.336985988173320150e+00
1.160439913490587038e+01,1.337263760961438619e+00
1.156042064678420900e+01,1.339433192805576267e+00
1.155084369996756521e+01,1.339846330558484011e+00
1.151383015590164405e+01,1.341602624649714137e+00
1.149236694682683435e+01,1.342484287601028115e+00
1.146279322598076256e+01,1.343772056493851785e+00
1.143389019368610349e+01,1.344861435111486925e+00
1.140601370798191461e+01,1.345941488337989655e+00
1.137541344054537085e+01,1.346975311454404967e+00
1.134189327839343520e+01,1.348110920182127304e+00
1.131693668740464354e+01,1.348858820486394938e+00
1.126860103793425694e+01,1.350280352026265174e+00
1.125845993426391090e+01,1.350549155599191309e+00
1.119998318112318003e+01,1.352061903751325733e+00
1.118409318459503332e+01,1.352449783870402822e+00
1.114150642798244917e+01,1.353413768606200884e+00
1.108302967484171830e+01,1.354601957833754700e+00
1.108207218179114228e+01,1.354619215714540692e+00
1.102455292170098744e+01,1.355608078544331851e+00
1.096607616856025658e+01,1.356419567328619902e+00
1.093065994405936259e+01,1.356788647558678340e+00
1.090759941541952571e+01,1.357024299678806889e+00
1.084912266227879485e+01,1.357414148182328528e+00
1.079064590913806398e+01,1.357585439903467694e+00
1.073216915599733134e+01,1.357539995724170279e+00
1.067369240285660226e+01,1.357280062693876133e+00
1.061521564971587139e+01,1.356805711298560757e+00
1.061372893685362762e+01,1.356788647558678118e+00
1.055673889657514053e+01,1.356111228860793716e+00
1.049826214343440967e+01,1.355185394339804894e+00
1.046930934702552918e+01,1.354619215714540692e+00
1.043978539029367880e+01,1.354000089834182186e+00
1.038130863715294794e+01,1.352524126525400217e+00
1.037871368711378572e+01,1.352449783870403044e+00
1.032283188401221707e+01,1.350674937070124093e+00
1.031176605647979017e+01,1.350280352026265396e+00
1.026435513087148621e+01,1.348362714526172956e+00
1.025862551713969495e+01,1.348110920182127082e+00
1.021541217588697137e+01,1.345941488337989655e+00
1.020587837773075535e+01,1.345384027244717062e+00
1.017953553746188966e+01,1.343772056493851785e+00
1.014975593547787724e+01,1.341602624649714137e+00
1.014740162459002448e+01,1.341404661062263637e+00
1.012425400543757803e+01,1.339433192805576267e+00
1.010275614786856835e+01,1.337263760961438619e+00
1.008892487144929362e+01,1.335636948662759949e+00
1.008424375374603699e+01,1.335094329117300749e+00
1.006755184628509703e+01,1.332924897273163101e+00
1.005275840912611329e+01,1.330755465429025231e+00
1.003931773845671138e+01,1.328586033584887360e+00
1.003044811830856275e+01,1.327063389905681623e+00
1.002652325915135023e+01,1.326416601740749490e+00
1.001372268372318253e+01,1.324247169896612064e+00
1.000128113318235989e+01,1.322077738052474416e+00
9.989017333553478650e+00,1.319908306208336324e+00
9.976816903682022897e+00,1.317738874364198676e+00
9.971971365167831891e+00,1.316886011946799107e+00
9.964098606281970305e+00,1.315569442520061028e+00
9.951087851614131452e+00,1.313400010675923157e+00
9.938156986004992532e+00,1.311230578831785287e+00
9.925330483261737058e+00,1.309061146987647639e+00
