M_sun,Lambda
1.710336168994413208e+00,0.000000000000000000e+00
1.714141588547485551e+00,0.000000000000000000e+00
1.717947008100558559e+00,0.000000000000000000e+00
1.721752427653631123e+00,0.000000000000000000e+00
1.725557847206703688e+00,0.000000000000000000e+00
1.729363266759776474e+00,0.000000000000000000e+00
1.733168686312848816e+00,0.000000000000000000e+00
1.736974105865921603e+00,0.000000000000000000e+00
1.740779525418994167e+00,0.000000000000000000e+00
1.744584944972066731e+00,0.000000000000000000e+00
1.748390364525139518e+00,0.000000000000000000e+00
1.752195784078212082e+00,0.000000000000000000e+00
1.756001203631284646e+00,0.000000000000000000e+00
1.759806623184357433e+00,0.000000000000000000e+00
1.763612042737429997e+00,0.000000000000000000e+00
1.767417462290502561e+00,0.000000000000000000e+00
1.771222881843575347e+00,0.000000000000000000e+00
1.775028301396647912e+00,0.000000000000000000e+00
1.778833720949720476e+00,0.000000000000000000e+00
1.782639140502793040e+00,0.000000000000000000e+00
1.786444560055865827e+00,0.000000000000000000e+00
1.790249979608938613e+00,0.000000000000000000e+00
1.794055399162010955e+00,0.000000000000000000e+00
1.797860818715083742e+00,0.000000000000000000e+00
1.801666238268156306e+00,0.000000000000000000e+00
1.805471657821228870e+00,0.000000000000000000e+00
1.809277077374301435e+00,0.000000000000000000e+00
1.813082496927373999e+00,0.000000000000000000e+00
1.813373621585712137e+00,0.000000000000000000e+00
1.816887916480446785e+00,0.000000000000000000e+00
1.820693336033519349e+00,0.000000000000000000e+00
1.824498755586592136e+00,0.000000000000000000e+00
1.828304175139664700e+00,0.000000000000000000e+00
1.832109594692737264e+00,0.000000000000000000e+00
1.835915014245809829e+00,0.000000000000000000e+00
1.839720433798882393e+00,0.000000000000000000e+00
1.843525853351955179e+00,0.000000000000000000e+00
1.847331272905027522e+00,0.000000000000000000e+00
1.851136692458100530e+00,0.000000000000000000e+00
1.854942112011173094e+00,0.000000000000000000e+00
1.858747531564245659e+00,0.000000000000000000e+00
1.862552951117318223e+00,0.000000000000000000e+00
1.866358370670390787e+00,0.000000000000000000e+00
1.870163790223463351e+00,0.000000000000000000e+00
1.873969209776536138e+00,0.000000000000000000e+00
1.877774629329608924e+00,0.000000000000000000e+00
1.881580048882681488e+00,0.000000000000000000e+00
1.885385468435754053e+00,0.000000000000000000e+00
1.889190887988826617e+00,0.000000000000000000e+00
1.892996307541899181e+00,0.000000000000000000e+00
1.896801727094972190e+00,0.000000000000000000e+00
1.900607146648044532e+00,0.000000000000000000e+00
1.904412566201117096e+00,0.000000000000000000e+00
1.907082621551620338e+00,0.000000000000000000e+00
1.908217985754189883e+00,0.000000000000000000e+00
1.912023405307262447e+00,0.000000000000000000e+00
1.915828824860335011e+00,0.000000000000000000e+00
1.919634244413407576e+00,0.000000000000000000e+00
1.923439663966480362e+00,0.000000000000000000e+00
1.927245083519552926e+00,0.000000000000000000e+00
1.931050503072625490e+00,0.000000000000000000e+00
1.934855922625698277e+00,0.000000000000000000e+00
1.938661342178770841e+00,0.000000000000000000e+00
1.942466761731843405e+00,0.000000000000000000e+00
1.944639145528349822e+00,0.000000000000000000e+00
1.946272181284915970e+00,0.000000000000000000e+00
1.950077600837988756e+00,0.000000000000000000e+00
1.953883020391061098e+00,0.000000000000000000e+00
1.957688439944134107e+00,0.000000000000000000e+00
1.961493859497206671e+00,0.000000000000000000e+00
1.965299279050279235e+00,0.000000000000000000e+00
1.969104698603351800e+00,0.000000000000000000e+00
1.970956743061007099e+00,0.000000000000000000e+00
1.972910118156424364e+00,0.000000000000000000e+00
1.976715537709496928e+00,0.000000000000000000e+00
1.980520957262569492e+00,0.000000000000000000e+00
1.984326376815642057e+00,0.000000000000000000e+00
1.988131796368714843e+00,0.000000000000000000e+00
1.991937215921787852e+00,0.000000000000000000e+00
1.995742635474860416e+00,0.000000000000000000e+00
1.997920052126761714e+00,0.000000000000000000e+00
1.999548055027932758e+00,0.000000000000000000e+00
2.003353474581005322e+00,0.000000000000000000e+00
2.007158894134078331e+00,0.000000000000000000e+00
2.010964313687150895e+00,0.000000000000000000e+00
2.014769733240223459e+00,0.000000000000000000e+00
2.015827432773610539e+00,0.000000000000000000e+00
2.018575152793296024e+00,0.000000000000000000e+00
2.022380572346368588e+00,0.000000000000000000e+00
2.024396150051290366e+00,0.000000000000000000e+00
2.026185991899441152e+00,0.000000000000000000e+00
2.029991411452513717e+00,1.091296303295856163e+01
2.030104675591944741e+00,1.158850589665917319e+01
2.033796831005586725e+00,4.410426618211048577e+01
2.033902097774265449e+00,4.501515357145240870e+01
2.035879362782849533e+00,7.844180124624574546e+01
2.036006438523920714e+00,1.118684489210390893e+02
2.034506660449125093e+00,1.452950965958323195e+02
2.033796831005586725e+00,1.534352825660991471e+02
2.031659311167832715e+00,1.787217442706256634e+02
2.029991411452513717e+00,1.924523236614869575e+02
2.027540538340585119e+00,2.121483919454188936e+02
2.026185991899441152e+00,2.210163304496309706e+02
2.022380572346368588e+00,2.441919377925353274e+02
2.022143808777942198e+00,2.455750396202122374e+02
2.018575152793296024e+00,2.643146508472389655e+02
2.015361017138753930e+00,2.790016872950054676e+02
2.014769733240223459e+00,2.816403360507050593e+02
2.010964313687150895e+00,2.976538013763046138e+02
2.007158894134078331e+00,3.114131319021627746e+02
2.006866508570166019e+00,3.124283349697988115e+02
2.003353474581005322e+00,3.252816428908349167e+02
1.999548055027932758e+00,3.376354428754232231e+02
1.996803025550433874e+00,3.458549826445921553e+02
1.995742635474860194e+00,3.494368584264317406e+02
1.991937215921787629e+00,3.618653120201107072e+02
1.988131796368715065e+00,3.733130709842560577e+02
1.986087428108415764e+00,3.792816303193853855e+02
1.984326376815642279e+00,3.854209411326215786e+02
1.980520957262569937e+00,3.983718483369758587e+02
1.976715537709497150e+00,4.105908628937633011e+02
1.976060897801966698e+00,4.127082779941786157e+02
1.972910118156424364e+00,4.255895233469818777e+02
1.969104698603351800e+00,4.403787425133813258e+02
1.967598220283146571e+00,4.461349256689720733e+02
1.965299279050279235e+00,4.579734852452459677e+02
1.961493859497206671e+00,4.766216851800238032e+02
1.960887771274250069e+00,4.795615733437653034e+02
1.957688439944133663e+00,5.011775734573967611e+02
1.955827484645268122e+00,5.129882210185585336e+02
1.953883020391061320e+00,5.299779541417140081e+02
1.951851510918252375e+00,5.464148686933517638e+02
1.950077600837988756e+00,5.641042866225971011e+02
1.948325149312346127e+00,5.798415163681452213e+02
1.946272181284915970e+00,5.989217321612156866e+02
1.944500595700606960e+00,6.132681640429384515e+02
1.942466761731843405e+00,6.283592539820298271e+02
1.939548331141166315e+00,6.466948117177316817e+02
1.938661342178770841e+00,6.516880324614927531e+02
1.934855922625698277e+00,6.707636071982192334e+02
1.932602107154973048e+00,6.801214593925251393e+02
1.931050503072625490e+00,6.863503157587888381e+02
1.927245083519552704e+00,6.995881662452175078e+02
1.923439663966480362e+00,7.100655513559923975e+02
1.921860460782753410e+00,7.135481070673183694e+02
1.919634244413407576e+00,7.188138895324270834e+02
1.915828824860335011e+00,7.259779241915757666e+02
1.912023405307262447e+00,7.316321023564868256e+02
1.908217985754189883e+00,7.365150949182002478e+02
1.904412566201117096e+00,7.415530903590936305e+02
1.901135110978536158e+00,7.469747547421115996e+02
1.900607146648044754e+00,7.480176504164023754e+02
1.896801727094972190e+00,7.584966502051674979e+02
1.892996307541899181e+00,7.736722168382170821e+02
1.891777742910371707e+00,7.804014024169048298e+02
1.889190887988826617e+00,7.972453928680390618e+02
1.887210575691627978e+00,8.138280500916982874e+02
1.885385468435754053e+00,8.310021106434344347e+02
1.883902859053693479e+00,8.472546977664915175e+02
1.881580048882681488e+00,8.744274704420967055e+02
1.881075617990631166e+00,8.806813454412847477e+02
1.878530163533363107e+00,9.141079931160782053e+02
1.877774629329608924e+00,9.249011099015970103e+02
1.876053164084298341e+00,9.475346407908714355e+02
1.873969209776535916e+00,9.750759758110575603e+02
1.873436189759172033e+00,9.809612884656646656e+02
1.870363881837989073e+00,1.014387936140458010e+03
1.870163790223463574e+00,1.016528739686128688e+03
1.866358370670390787e+00,1.045346421800202052e+03
1.865881512486948113e+00,1.047814583815251353e+03
1.862552951117318223e+00,1.064489876892205757e+03
1.858747531564245659e+00,1.077037107980351948e+03
1.857320631534487010e+00,1.081241231490044584e+03
1.854942112011173094e+00,1.088381654398953060e+03
1.851136692458100530e+00,1.100446422190456815e+03
1.847331272905027744e+00,1.113762278104846928e+03
