Mchirp_Msun,LambdaTilde
1.419705084314202281e+00,-7.049579705853562928e+01
1.420274732553755692e+00,-7.403639876899775629e+01
1.420844380793308881e+00,-7.718441270285867972e+01
1.421414029032862292e+00,-7.998069049906224848e+01
1.421983677272415481e+00,-8.245280441518987402e+01
1.422553325511968669e+00,-8.461239746872996648e+01
1.423122973751522080e+00,-8.645678337468463326e+01
1.423692621991075269e+00,-8.797441382248024411e+01
1.424262270230628680e+00,-8.915273775647750654e+01
1.424831918470181868e+00,-8.998660735259514354e+01
1.425401566709735057e+00,-9.048564537283668585e+01
1.425971214949288468e+00,-9.067943736887478678e+01
1.426540863188841657e+00,-9.061963177580015838e+01
1.427110511428395068e+00,-9.037798562882923648e+01
1.427680159667948256e+00,-9.003951880495674231e+01
1.428249807907501445e+00,-8.969085742560510255e+01
1.428819456147054856e+00,-8.940574998404035512e+01
1.429389104386608045e+00,-8.923181425887142382e+01
1.429958752626161456e+00,-8.918321405431434812e+01
1.430528400865714644e+00,-8.924210551396629398e+01
1.431098049105267833e+00,-8.936811871258271367e+01
1.431667697344821244e+00,-8.951208143710422860e+01
1.432237345584374433e+00,-8.962936535158468132e+01
1.432806993823927844e+00,-8.968952326986915580e+01
1.433376642063481032e+00,-8.968092497700430954e+01
1.433946290303034221e+00,-8.961068376072236674e+01
1.434515938542587632e+00,-8.950094711196867081e+01
1.435085586782140821e+00,-8.938285838653065696e+01
1.435655235021694232e+00,-8.928952042234593023e+01
1.436224883261247420e+00,-8.924925031321839697e+01
1.436794531500800609e+00,-8.928026979011627873e+01
1.437364179740354020e+00,-8.938765330883288129e+01
1.437933827979907209e+00,-8.956285899620493751e+01
1.438503476219460397e+00,-8.978560221898487725e+01
1.439073124459013808e+00,-9.002735594381496753e+01
1.439642772698566997e+00,-9.025550688693333257e+01
1.440212420938120408e+00,-9.043720549936580255e+01
1.440782069177673597e+00,-9.054217022223626543e+01
1.441351717417226785e+00,-9.054404012482019937e+01
1.441921365656780196e+00,-9.042022331754269260e+01
1.442491013896333385e+00,-9.015051440275041728e+01
1.443060662135886796e+00,-8.971503546440639809e+01
1.443630310375439985e+00,-8.909226189648757099e+01
1.444199958614993173e+00,-8.825796405337705153e+01
1.444769606854546584e+00,-8.718576543027732839e+01
1.445339255094099773e+00,-8.584968327341104555e+01
1.445908903333653184e+00,-8.422854929886405273e+01
1.446478551573206373e+00,-8.231170076526187529e+01
1.447048199812759561e+00,-8.010483889554072334e+01
1.447617848052312972e+00,-7.763450193296087321e+01
1.448187496291866161e+00,-7.494930998196680605e+01
1.448757144531419572e+00,-7.211630017292023354e+01
1.449234324412742358e+00,-6.969930805916067129e+01
1.449326792770972760e+00,-6.938515861381542038e+01
1.449896441010525949e+00,-6.752119451135150996e+01
1.450466089250079360e+00,-6.569887998627046954e+01
1.451035737489632549e+00,-6.392519383353062068e+01
1.451605385729185960e+00,-6.218420935650062376e+01
1.452175033968739148e+00,-6.043959697903457595e+01
1.452744682208292337e+00,-5.863997290188917333e+01
1.453314330447845748e+00,-5.672487902888673972e+01
1.453883978687398937e+00,-5.462937914582910537e+01
1.454453626926952348e+00,-5.228610486959103554e+01
1.455023275166505536e+00,-4.962461071562611181e+01
1.455592923406058725e+00,-4.656870352759826659e+01
1.456162571645612136e+00,-4.303278233791772323e+01
1.456517078784896446e+00,-4.052829331310147154e+01
1.456732219885165325e+00,-3.942021753923508243e+01
1.457301868124718736e+00,-3.611648252038172302e+01
1.457871516364271924e+00,-3.225674711702770026e+01
1.458441164603825113e+00,-2.774345723883146775e+01
1.459010812843378524e+00,-2.246492190790620924e+01
1.459580461082931713e+00,-1.629319290301261702e+01
1.459981333009079618e+00,-1.135727856704227179e+01
1.460150109322485124e+00,-9.709241488262453146e+00
1.460719757562038312e+00,-3.638673889405363848e+00
1.461289405801591501e+00,3.395636788138003848e+00
1.461859054041144912e+00,1.153774416339700082e+01
1.462252920155430180e+00,1.781373617901681428e+01
1.462428702280698101e+00,2.021175542846506801e+01
1.462998350520251289e+00,2.849539994529975218e+01
1.463567998759804700e+00,3.798134982438476470e+01
1.464051402599562790e+00,4.698475092507601403e+01
1.464137646999357889e+00,4.847588321425831026e+01
1.464707295238911300e+00,5.856247393820293468e+01
1.465276943478464489e+00,6.998792672842789386e+01
1.465567158815902715e+00,7.615576567113521378e+01
1.465846591718017677e+00,8.212900674472483331e+01
1.466416239957571088e+00,9.508071030668146761e+01
1.466827321543372697e+00,1.053267804171944135e+02
1.466985888197124277e+00,1.096374447818307374e+02
1.467555536436677688e+00,1.258628022934895938e+02
1.467835772498300217e+00,1.344977951632536133e+02
1.468125184676230877e+00,1.452157031825335025e+02
1.468589371701228830e+00,1.636688099093128130e+02
1.468694832915784065e+00,1.693831575682319226e+02
1.469115445140848131e+00,1.928398246553720128e+02
1.469264481155337476e+00,2.064488229653827318e+02
1.469437078742177993e+00,2.220108394014310988e+02
1.469588785167313505e+00,2.511818541474902986e+02
1.469604227614564440e+00,2.803528688935494984e+02
1.469519417989306076e+00,3.095238836396086981e+02
1.469357667612940066e+00,3.386948983856678979e+02
1.469264481155337476e+00,3.509409825501813316e+02
1.469145402353369212e+00,3.678659131317270976e+02
1.468888047146084341e+00,3.970369278777862974e+02
1.468694832915784065e+00,4.155257364756515130e+02
1.468590306419736757e+00,4.262079426238454971e+02
1.468274952716360771e+00,4.553789573699046969e+02
1.468125184676230877e+00,4.685639418373363583e+02
1.467952867907536207e+00,4.845499721159638966e+02
1.467626721461070094e+00,5.137209868620230964e+02
1.467555536436677688e+00,5.200592003232881098e+02
1.467300139771981371e+00,5.428920016080822961e+02
1.466985888197124277e+00,5.679486883604910190e+02
1.466932267418337599e+00,5.720630163541414959e+02
