R_km,M_sun
9.214871933341660437e+00,1.272040319959282906e+00
9.260790698068504412e+00,1.271360175342994170e+00
9.306709462795346610e+00,1.271564800914351423e+00
9.352628227522190585e+00,1.272443304293092270e+00
9.369834049340987292e+00,1.272959176924332247e+00
9.398546992249032783e+00,1.273792304273474674e+00
9.444465756975876758e+00,1.275467419290447824e+00
9.477131279697665889e+00,1.276772042246952621e+00
9.490384521702718956e+00,1.277295861705976199e+00
9.536303286429561155e+00,1.279076154707699420e+00
9.579763084881699697e+00,1.280584907569573216e+00
9.582222051156405129e+00,1.280668273382435718e+00
9.628140815883247328e+00,1.281829685680338615e+00
9.674059580610091302e+00,1.282569717989560321e+00
9.719978345336933501e+00,1.282889429853263596e+00
9.765897110063775699e+00,1.282906302467983206e+00
9.811815874790617897e+00,1.282794674558874526e+00
9.857734639517460096e+00,1.282717114336076270e+00
9.903653404244305847e+00,1.282789035698381763e+00
9.949572168971148045e+00,1.283075614893320893e+00
9.995490933697993796e+00,1.283601595767687176e+00
1.004140969842483422e+01,1.284361213517219769e+00
1.004318615206237197e+01,1.284397772892193590e+00
1.008732846315167819e+01,1.285410581459446089e+00
1.013324722787852039e+01,1.286720790706724404e+00
1.017851095368646241e+01,1.288210638214814185e+00
1.017916599260536259e+01,1.288236586342140777e+00
1.022508475733220656e+01,1.290229632979837060e+00
1.026364618583347443e+01,1.292023503537434781e+00
1.027100352205904876e+01,1.292464654915593592e+00
1.031692228678589274e+01,1.295266515598044732e+00
1.032647042443959862e+01,1.295836368860054932e+00
1.036284105151273494e+01,1.298604354814192119e+00
1.037751550439311998e+01,1.299649234182675528e+00
1.040875981623957713e+01,1.302122884660660951e+00
1.042731367501863815e+01,1.303462099505296123e+00
1.045467858096642111e+01,1.305119164470578630e+00
1.049342816924652233e+01,1.307274964827916719e+00
1.050059734569326508e+01,1.307544324557289750e+00
1.054651611042010728e+01,1.309320485719390081e+00
1.059243487514694948e+01,1.311087830150537314e+00
1.063835363987379345e+01,1.312473905009037267e+00
1.068427240460063743e+01,1.313990247936388078e+00
1.070960983908451247e+01,1.314900695473157688e+00
1.073019116932747963e+01,1.315463004714419792e+00
1.077610993405432183e+01,1.316849674220408772e+00
1.082202869878116402e+01,1.318339053539916428e+00
1.083317823586198436e+01,1.318713560795778283e+00
1.086794746350800800e+01,1.319671643413606432e+00
1.091386622823485020e+01,1.320979858513608107e+00
1.095978499296169417e+01,1.322331131781314451e+00
1.096651775451849353e+01,1.322526426118398657e+00
1.100570375768853637e+01,1.323494872997903471e+00
1.105162252241537857e+01,1.324674039658786828e+00
1.109754128714222254e+01,1.325956770823670805e+00
1.111010757381828995e+01,1.326339291441019252e+00
1.114346005186906652e+01,1.327231302208184749e+00
1.118937881659590872e+01,1.328672595618026975e+00
1.122832833960148413e+01,1.330152156763639626e+00
1.123529758132275091e+01,1.330392271466978249e+00
1.128121634604959311e+01,1.332239016445097679e+00
1.131657319574607534e+01,1.333965022086260444e+00
1.132713511077643709e+01,1.334448426942372201e+00
1.137305387550328106e+01,1.336854562756039755e+00
1.138875656736053443e+01,1.337777887408880595e+00
1.141897264023012326e+01,1.339500739921138939e+00
1.145193786686344772e+01,1.341590752731501190e+00
1.146489140495696546e+01,1.342403681291236994e+00
1.150933514930039614e+01,1.345403618054121786e+00
1.151081016968380943e+01,1.345504292904760257e+00
1.155672893441065519e+01,1.348693852129527526e+00
1.156411509534263615e+01,1.349216483376742159e+00
1.160264769913749561e+01,1.352033309372482561e+00
1.161611294364669789e+01,1.353029348699362755e+00
1.164856646386433781e+01,1.355514316433044542e+00
1.166578193963656496e+01,1.356842214021983128e+00
1.169448522859118000e+01,1.359103007965482224e+00
1.171401339903254168e+01,1.360655079344603724e+00
1.174040399331802398e+01,1.362738978764855613e+00
1.176204767601472412e+01,1.364467944667224319e+00
1.178632275804486795e+01,1.366334130698767524e+00
1.181145097781809028e+01,1.368280809989844693e+00
1.183224152277171015e+01,1.369793267862254194e+00
1.186413237906574203e+01,1.372093675312465288e+00
1.187816028749855235e+01,1.373034488033359368e+00
1.192264600805163610e+01,1.375906540635085662e+00
1.192407905222539455e+01,1.375993068865723590e+00
1.196999781695223852e+01,1.378460436356916397e+00
1.199651784360326268e+01,1.379719405957706257e+00
1.201591658167908250e+01,1.380590587685131876e+00
1.206183534640592470e+01,1.382276143313999839e+00
1.210530820602841828e+01,1.383532271280326631e+00
1.210775411113276689e+01,1.383602502170452775e+00
1.215367287585961087e+01,1.384574616473565722e+00
1.219959164058645484e+01,1.385358849186738350e+00
1.224551040531329704e+01,1.386085834600463640e+00
1.229142917004013924e+01,1.386910124945602840e+00
1.231028956182472456e+01,1.387345136602947226e+00
1.233734793476698144e+01,1.388053291403569478e+00
1.238326669949382541e+01,1.389693085999126110e+00
1.241394079035408105e+01,1.391158001925567600e+00
1.242918546422066939e+01,1.392042968531671088e+00
1.246892407940162784e+01,1.394970867248188195e+00
1.247510422894751159e+01,1.395539457808302242e+00
1.250486553537508172e+01,1.398783732570808791e+00
1.252102299367435378e+01,1.400947250344061645e+00
1.253206721097808618e+01,1.402596597893429164e+00
1.255400292676014828e+01,1.406409463216049538e+00
1.256694175840119598e+01,1.408936213907062029e+00
1.257326874777770165e+01,1.410222328538670133e+00
1.259026448564455869e+01,1.414035193861290729e+00
1.260628122974538989e+01,1.417848059183911325e+00
1.261286052312803996e+01,1.419504767532196565e+00
1.262137127269468095e+01,1.421660924506531698e+00
1.263657319542061330e+01,1.425473789829152071e+00
1.265217694513574997e+01,1.429286655151772667e+00
1.265877928785488393e+01,1.430773799619534881e+00
1.266898492191561232e+01,1.433099520474393263e+00
1.268671593017643495e+01,1.436912385797013636e+00
1.270395218814358529e+01,1.440725251119634232e+00
1.270469805258172613e+01,1.440881722453238645e+00
1.272270073334507501e+01,1.444538116442254605e+00
1.274009829992724541e+01,1.448350981764875200e+00
1.275061681730856833e+01,1.450799446713691765e+00
1.275690827186407894e+01,1.452163847087495796e+00
1.277344375018121525e+01,1.455976712410115947e+00
1.278832524697868855e+01,1.459789577732736765e+00
1.279653558203541230e+01,1.462036163945387379e+00
1.280275492697356654e+01,1.463602443055357138e+00
1.281694488401212162e+01,1.467415308377977734e+00
1.283055043656348460e+01,1.471228173700598330e+00
