rho_fm3,lower,upper
1.823781305562079775e-03,-4.479598943898867036e-01,1.331480911216799123e-01
5.567936778425269101e-02,-1.002677960874814467e+01,-8.488339976967990808e+00
1.095349542629433098e-01,-1.520333537886595465e+01,-1.196678132413470053e+01
1.633905407416339217e-01,-1.819542069463666323e+01,-1.131853381536683756e+01
2.172461272203245197e-01,-1.888101798593167757e+01,-7.368037429841457708e+00
2.711017136990151455e-01,-1.816136900811694233e+01,-5.425640033490477521e-01
3.249573001777057990e-01,-1.641601327293309609e+01,8.371869913826046172e+00
3.788128866563963970e-01,-1.381020682953348100e+01,1.819365234085428185e+01
4.326684731350869950e-01,-1.037577076870551274e+01,2.773690859356235450e+01
4.865240596137775930e-01,-5.880203945469665072e+00,3.308310153639362738e+01
5.403796460924681355e-01,-2.089777880367712726e+00,4.150691827272628132e+01
