# mode  eta  T  status  reason  n_onset  n_offset  n_found  n_expected  n_had  n_quark  seconds  Y_C
beta_eq_neutrinoless  0.00000000e+00  0.00000000e+00  ok  ok  3.31028523e-01  1.07830952e+00  2.90000000e+01  2.90000000e+01  5.90000000e+01  7.00000000e+01  7.18713045e-01  nan
beta_eq_neutrinoless  0.00000000e+00  1.00000000e-01  ok  ok  3.31028523e-01  1.07830952e+00  2.90000000e+01  2.90000000e+01  5.90000000e+01  7.00000000e+01  4.20726109e+00  nan
beta_eq_neutrinoless  0.00000000e+00  2.00000000e+01  ok  ok  3.72734851e-01  1.01783169e+00  2.60000000e+01  2.60000000e+01  5.90000000e+01  7.00000000e+01  4.34509277e+00  nan
beta_eq_neutrinoless  0.00000000e+00  5.00000000e+01  ok  ok  2.91138463e-01  6.37597386e-01  1.40000000e+01  1.40000000e+01  5.90000000e+01  7.00000000e+01  4.64253497e+00  nan
beta_eq_neutrinoless  3.00000000e-01  0.00000000e+00  ok  ok  8.76716755e-01  9.97672412e-01  5.00000000e+00  5.00000000e+00  5.90000000e+01  7.00000000e+01  8.37761164e-01  nan
beta_eq_neutrinoless  3.00000000e-01  1.00000000e-01  ok  ok  8.75007952e-01  9.89814040e-01  4.00000000e+00  4.00000000e+00  5.90000000e+01  7.00000000e+01  2.16183186e+00  nan
beta_eq_neutrinoless  3.00000000e-01  2.00000000e+01  ok  ok  8.14568358e-01  9.27697291e-01  4.00000000e+00  4.00000000e+00  5.90000000e+01  7.00000000e+01  2.41470218e+00  nan
beta_eq_neutrinoless  3.00000000e-01  5.00000000e+01  ok  ok  4.13053404e-01  5.54168337e-01  5.00000000e+00  5.00000000e+00  5.90000000e+01  7.00000000e+01  4.78361011e+00  nan
beta_eq_neutrinoless  1.00000000e+00  0.00000000e+00  ok  ok  8.83484512e-01  9.66425534e-01  4.00000000e+00  4.00000000e+00  5.90000000e+01  7.00000000e+01  9.63624954e-01  nan
beta_eq_neutrinoless  1.00000000e+00  1.00000000e-01  ok  ok  8.85790600e-01  9.64119445e-01  3.00000000e+00  3.00000000e+00  5.90000000e+01  7.00000000e+01  1.82895517e+00  nan
beta_eq_neutrinoless  1.00000000e+00  2.00000000e+01  ok  ok  8.17475237e-01  8.94860683e-01  3.00000000e+00  3.00000000e+00  5.90000000e+01  7.00000000e+01  1.97023797e+00  nan
beta_eq_neutrinoless  1.00000000e+00  5.00000000e+01  ok  ok  4.43292318e-01  5.13849784e-01  3.00000000e+00  3.00000000e+00  5.90000000e+01  7.00000000e+01  4.17060614e+00  nan
