# T_grid = [ 0.   0.1 20.  50. ]
# eta = 0.0
# flags.deltas = True
# flags.hyperons = True
# flags.include_pseudoscalars = True
# flags.include_thermal_vectors = True
# flags.muons = True
# flags.neutrinos = False
# flags.phi_field = True
# flags.photons = True
# flags.sigma_star = False
# mode = beta_eq_neutrinoless
# nB_grid = [0.0149077  0.04061808 0.06632846 0.09203884 0.11774922 0.14345961
 0.16916999 0.19488037 0.22059075 0.24630113 0.27201151 0.29772189
 0.32343227 0.34914266 0.37485304 0.40056342 0.4262738  0.45198418
 0.47769456 0.50340494 0.52911532 0.5548257  0.58053609 0.60624647
 0.63195685 0.65766723 0.68337761 0.70908799 0.73479837 0.76050875
 0.78621913 0.81192952 0.8376399  0.86335028 0.88906066 0.91477104
 0.94048142 0.9661918  0.99190218 1.01761257 1.04332295 1.06903333
 1.09474371 1.12045409 1.14616447 1.17187485 1.19758523 1.22329561
 1.249006   1.27471638 1.30042676 1.32613714 1.35184752 1.3775579
 1.40326828 1.42897866 1.45468904 1.48039943 1.50610981 1.53182019
 1.55753057 1.58324095 1.60895133 1.63466171 1.66037209 1.68608248
 1.71179286 1.73750324 1.76321362 1.788924  ]
# parametrization.U_Lambda = -30.0
# parametrization.U_Sigma = 30.0
# parametrization.U_Xi = -10.0
# parametrization.a_omega = 1.2993304088045274
# parametrization.a_rho = 0.6027109576523708
# parametrization.a_sigma = 1.288540783363016
# parametrization.b_omega = 0.5287202055492825
# parametrization.b_sigma = 0.6283822503452887
# parametrization.c_omega = 0.7973899819091989
# parametrization.c_sigma = 0.9222387744177732
# parametrization.d_omega = 0.6465527825538292
# parametrization.d_sigma = 0.6011982168643085
# parametrization.gamma_omega = 13.342711146111558
# parametrization.gamma_rho = 3.6266966193192673
# parametrization.gamma_sigma = 10.686850458775691
# parametrization.hyperon_couplings = (('Lambda', 1115.683, 0.620082400393217, 0.6666666666666666, 0.0, -0.47140452079103173), ('Sigma+', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma0', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma-', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Xi0', 1314.83, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635), ('Xi-', 1321.68, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635))
# parametrization.m_n = 939.56536
# parametrization.m_omega = 783.0
# parametrization.m_p = 938.27203
# parametrization.m_phi = 1019.45
# parametrization.m_rho = 763.0
# parametrization.m_sigma = 546.212459
# parametrization.n_sat = 0.149077
# parametrization.nucleon_mass_mode = average
# parametrization.x_Delta_omega = 1.2
# parametrization.x_Delta_rho = 1.0
# parametrization.x_Delta_sigma = 1.100615117854091
# vmit.B4 = 170.0
# vmit.a = 0.2
# vmit.m_d = 7.0
# vmit.m_s = 150.0
# vmit.m_u = 5.0
# vmit.name = vMIT_custom
# n_B  T  eta  chi  phase  P  eps  s  S_per_B  mu_B  Y_C  Y_S  Y_B_H  Y_C_H  Y_S_H  Y_B_Q  Y_C_Q  Y_S_Q  mu_eG  Y_p  Y_n  Y_Lambda  Y_Sigma+  Y_Sigma0  Y_Sigma-  Y_Xi0  Y_Xi-  Y_Delta++  Y_Delta+  Y_Delta0  Y_Delta-  Y_u  Y_d  Y_s  Y_e  Y_mu-  Y_L_H  Y_L_Q  Y_L_G
3.49142655e-01  0.00000000e+00  0.00000000e+00  2.17715103e-02  mix  4.60760092e+01  3.50217393e+02  0.00000000e+00  0.00000000e+00  1.13504723e+03  7.99364258e-02  5.68144311e-02  9.71063426e-01  1.00793965e-01  2.24705029e-02  2.89365740e-02  -2.08575392e-02  3.43439281e-02  1.63755008e+02  1.00793965e-01  8.47798958e-01  2.24705029e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.07903483e-03  4.43867591e-02  3.43439281e-02  5.52833191e-02  2.46531067e-02  0.00000000e+00  0.00000000e+00  7.99364258e-02
3.74853036e-01  0.00000000e+00  0.00000000e+00  5.25769610e-02  mix  5.32821562e+01  3.79654388e+02  0.00000000e+00  0.00000000e+00  1.15495008e+03  6.47856969e-02  1.25220826e-01  9.32721467e-01  1.11550150e-01  4.59444671e-02  6.72785333e-02  -4.67644532e-02  7.92763594e-02  1.57688460e+02  1.11550150e-01  7.75226850e-01  4.59444671e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.05140801e-02  1.02045160e-01  7.92763594e-02  4.59781454e-02  1.88075515e-02  0.00000000e+00  0.00000000e+00  6.47856969e-02
4.00563417e-01  0.00000000e+00  0.00000000e+00  8.06965094e-02  mix  6.12654675e+01  4.09611725e+02  0.00000000e+00  0.00000000e+00  1.17553719e+03  5.27029332e-02  1.86353485e-01  8.99978464e-01  1.19656978e-01  6.93433312e-02  1.00021536e-01  -6.69540449e-02  1.17010154e-01  1.51884281e+02  1.19656978e-01  7.10978155e-01  6.93433312e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.30674908e-02  1.49986962e-01  1.17010154e-01  3.84485014e-02  1.42544318e-02  0.00000000e+00  0.00000000e+00  5.27029332e-02
4.26273799e-01  0.00000000e+00  0.00000000e+00  1.06450324e-01  mix  7.00656374e+01  4.40107386e+02  0.00000000e+00  0.00000000e+00  1.19682004e+03  4.29919500e-02  2.40978358e-01  8.71510550e-01  1.25715350e-01  9.17450279e-02  1.28489450e-01  -8.27234001e-02  1.49233330e-01  1.46315802e+02  1.25715350e-01  6.54050172e-01  9.17450279e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.57660501e-02  1.90468970e-01  1.49233330e-01  3.22995670e-02  1.06923829e-02  0.00000000e+00  0.00000000e+00  4.29919500e-02
4.51984180e-01  0.00000000e+00  0.00000000e+00  1.30070840e-01  mix  7.96924342e+01  4.71158587e+02  0.00000000e+00  0.00000000e+00  1.21873961e+03  3.51428058e-02  2.89891382e-01  8.46400909e-01  1.30136892e-01  1.12770894e-01  1.53599091e-01  -9.49940862e-02  1.77120488e-01  1.40964989e+02  1.30136892e-01  6.03493123e-01  1.12770894e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.86050045e-02  2.25071779e-01  1.77120488e-01  2.72409082e-02  7.90189760e-03  0.00000000e+00  0.00000000e+00  3.51428058e-02
4.77694561e-01  0.00000000e+00  0.00000000e+00  1.51794783e-01  mix  9.01389011e+01  5.02780634e+02  0.00000000e+00  0.00000000e+00  1.24121056e+03  2.87661948e-02  3.33832109e-01  8.23939238e-01  1.33240825e-01  1.32255058e-01  1.76060762e-01  -1.04474630e-01  2.01577052e-01  1.35810709e+02  1.33240825e-01  5.58443356e-01  1.32255058e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.15861320e-02  2.55019102e-01  2.01577052e-01  2.30495326e-02  5.71666223e-03  0.00000000e+00  0.00000000e+00  2.87661948e-02
5.03404942e-01  0.00000000e+00  0.00000000e+00  1.71792283e-01  mix  1.01386149e+02  5.34986495e+02  0.00000000e+00  0.00000000e+00  1.26413666e+03  2.35612720e-02  3.73404272e-01  8.03643938e-01  1.35228595e-01  1.50183379e-01  1.96356062e-01  -1.11667323e-01  2.23220893e-01  1.30827023e+02  1.35294030e-01  5.18166529e-01  1.50117944e-01  0.00000000e+00  0.00000000e+00  6.54352141e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.46887390e-02  2.81158554e-01  2.23220893e-01  1.95517014e-02  4.00957063e-03  0.00000000e+00  0.00000000e+00  2.35612720e-02
5.29115323e-01  0.00000000e+00  0.00000000e+00  1.87366652e-01  mix  1.13318353e+02  5.67785431e+02  0.00000000e+00  0.00000000e+00  1.28725016e+03  1.93184497e-02  4.08141579e-01  7.88433609e-01  1.34524654e-01  1.69316825e-01  2.11566391e-01  -1.15206204e-01  2.38824754e-01  1.26022017e+02  1.36967026e-01  4.83800786e-01  1.65223425e-01  0.00000000e+00  0.00000000e+00  7.91344176e-04  0.00000000e+00  1.65102772e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.63601865e-02  2.99514232e-01  2.38824754e-01  1.66263843e-02  2.69206541e-03  0.00000000e+00  0.00000000e+00  1.93184497e-02
5.54825704e-01  0.00000000e+00  0.00000000e+00  1.98297263e-01  mix  1.25848270e+02  6.01178000e+02  0.00000000e+00  0.00000000e+00  1.31036876e+03  1.58670993e-02  4.39091751e-01  7.78382673e-01  1.31342754e-01  1.90650524e-01  2.21617327e-01  -1.15475655e-01  2.48441227e-01  1.21399353e+02  1.38646145e-01  4.55178159e-01  1.77254978e-01  0.00000000e+00  0.00000000e+00  1.21123619e-03  0.00000000e+00  6.09215500e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.06141672e-01  3.10269082e-01  2.48441227e-01  1.41742665e-02  1.69283281e-03  0.00000000e+00  0.00000000e+00  1.58670993e-02
5.80536086e-01  0.00000000e+00  0.00000000e+00  2.07668591e-01  mix  1.39056820e+02  6.35166882e+02  0.00000000e+00  0.00000000e+00  1.33363579e+03  1.30375865e-02  4.67268071e-01  7.69858070e-01  1.27648807e-01  2.11049441e-01  2.30141930e-01  -1.14611220e-01  2.56218631e-01  1.16887838e+02  1.39987588e-01  4.29698802e-01  1.87832899e-01  0.00000000e+00  0.00000000e+00  1.46102046e-03  0.00000000e+00  1.08777604e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.15530710e-01  3.18676450e-01  2.56218631e-01  1.20916592e-02  9.45927370e-04  0.00000000e+00  0.00000000e+00  1.30375865e-02
