# T_grid = [ 0.   0.1 20.  50. ]
# eta = 0.3
# flags.deltas = True
# flags.hyperons = True
# flags.include_pseudoscalars = True
# flags.include_thermal_vectors = True
# flags.muons = True
# flags.neutrinos = False
# flags.phi_field = True
# flags.photons = True
# flags.sigma_star = False
# mode = beta_eq_neutrinoless
# nB_grid = [0.0149077  0.04061808 0.06632846 0.09203884 0.11774922 0.14345961
 0.16916999 0.19488037 0.22059075 0.24630113 0.27201151 0.29772189
 0.32343227 0.34914266 0.37485304 0.40056342 0.4262738  0.45198418
 0.47769456 0.50340494 0.52911532 0.5548257  0.58053609 0.60624647
 0.63195685 0.65766723 0.68337761 0.70908799 0.73479837 0.76050875
 0.78621913 0.81192952 0.8376399  0.86335028 0.88906066 0.91477104
 0.94048142 0.9661918  0.99190218 1.01761257 1.04332295 1.06903333
 1.09474371 1.12045409 1.14616447 1.17187485 1.19758523 1.22329561
 1.249006   1.27471638 1.30042676 1.32613714 1.35184752 1.3775579
 1.40326828 1.42897866 1.45468904 1.48039943 1.50610981 1.53182019
 1.55753057 1.58324095 1.60895133 1.63466171 1.66037209 1.68608248
 1.71179286 1.73750324 1.76321362 1.788924  ]
# parametrization.U_Lambda = -30.0
# parametrization.U_Sigma = 30.0
# parametrization.U_Xi = -10.0
# parametrization.a_omega = 1.2993304088045274
# parametrization.a_rho = 0.6027109576523708
# parametrization.a_sigma = 1.288540783363016
# parametrization.b_omega = 0.5287202055492825
# parametrization.b_sigma = 0.6283822503452887
# parametrization.c_omega = 0.7973899819091989
# parametrization.c_sigma = 0.9222387744177732
# parametrization.d_omega = 0.6465527825538292
# parametrization.d_sigma = 0.6011982168643085
# parametrization.gamma_omega = 13.342711146111558
# parametrization.gamma_rho = 3.6266966193192673
# parametrization.gamma_sigma = 10.686850458775691
# parametrization.hyperon_couplings = (('Lambda', 1115.683, 0.620082400393217, 0.6666666666666666, 0.0, -0.47140452079103173), ('Sigma+', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma0', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma-', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Xi0', 1314.83, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635), ('Xi-', 1321.68, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635))
# parametrization.m_n = 939.56536
# parametrization.m_omega = 783.0
# parametrization.m_p = 938.27203
# parametrization.m_phi = 1019.45
# parametrization.m_rho = 763.0
# parametrization.m_sigma = 546.212459
# parametrization.n_sat = 0.149077
# parametrization.nucleon_mass_mode = average
# parametrization.x_Delta_omega = 1.2
# parametrization.x_Delta_rho = 1.0
# parametrization.x_Delta_sigma = 1.100615117854091
# vmit.B4 = 170.0
# vmit.a = 0.2
# vmit.m_d = 7.0
# vmit.m_s = 150.0
# vmit.m_u = 5.0
# vmit.name = vMIT_custom
# n_B  T  eta  chi  phase  P  eps  s  S_per_B  mu_B  Y_C  Y_S  Y_B_H  Y_C_H  Y_S_H  Y_B_Q  Y_C_Q  Y_S_Q  mu_eL_H  mu_eL_Q  mu_eG  Y_p  Y_n  Y_Lambda  Y_Sigma+  Y_Sigma0  Y_Sigma-  Y_Xi0  Y_Xi-  Y_Delta++  Y_Delta+  Y_Delta0  Y_Delta-  Y_u  Y_d  Y_s  Y_e  Y_mu-  Y_L_H  Y_L_Q  Y_L_G
8.89060659e-01  0.00000000e+00  3.00000000e-01  1.09260084e-01  mix  3.46372666e+02  1.09304641e+03  0.00000000e+00  0.00000000e+00  1.61903359e+03  3.96310359e-03  6.24028580e-01  8.82124014e-01  6.85080955e-03  5.16138025e-01  1.17875986e-01  -2.88770595e-03  1.07890554e-01  1.13919443e+02  -1.56295542e+02  9.28942816e+01  1.39393830e-01  3.23340552e-01  2.86846612e-01  0.00000000e+00  0.00000000e+00  3.57946278e-02  0.00000000e+00  9.67483926e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.14988280e-01  1.30749123e-01  1.07890554e-01  4.10861228e-03  -1.45508681e-04  2.05524286e-03  -8.66311786e-04  2.77417252e-03
9.14771041e-01  0.00000000e+00  3.00000000e-01  4.01731834e-01  mix  3.49040241e+02  1.13471346e+03  0.00000000e+00  0.00000000e+00  1.62199461e+03  2.54741208e-03  7.21699647e-01  5.77145046e-01  8.54338230e-03  3.36672066e-01  4.22854954e-01  -5.99597022e-03  3.85027581e-01  1.34069002e+02  -1.35587483e+02  8.09355514e+01  9.27526041e-02  2.10429007e-01  1.89754213e-01  0.00000000e+00  0.00000000e+00  2.15005907e-02  0.00000000e+00  6.27086311e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.16858984e-01  4.66678298e-01  3.85027581e-01  2.41795752e-03  1.29454553e-04  2.56301469e-03  -1.79879107e-03  1.78318845e-03
9.40481422e-01  0.00000000e+00  3.00000000e-01  6.89004745e-01  mix  3.51379218e+02  1.17644719e+03  0.00000000e+00  0.00000000e+00  1.62451524e+03  1.60459135e-03  8.11921535e-01  2.92262554e-01  6.78774403e-03  1.69694853e-01  7.07737446e-01  -5.18315268e-03  6.42226682e-01  1.50757033e+02  -1.14911805e+02  7.00234101e+01  4.78969894e-02  1.06007954e-01  9.72483655e-02  0.00000000e+00  0.00000000e+00  9.77200361e-03  0.00000000e+00  3.13372417e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.02554293e-01  7.78431362e-01  6.42226682e-01  1.15141476e-03  4.53176587e-04  2.03632321e-03  -1.55494580e-03  1.12321395e-03
9.66191803e-01  0.00000000e+00  3.00000000e-01  9.30625912e-01  mix  3.55942259e+02  1.21826466e+03  0.00000000e+00  0.00000000e+00  1.62929029e+03  6.41196932e-04  8.84258499e-01  6.36360736e-02  2.55110036e-03  3.65859717e-02  9.36363926e-01  -1.90990342e-03  8.47672528e-01  1.75053249e+02  -7.66954585e+01  5.20434407e+01  1.08389172e-02  2.28390447e-02  2.16702948e-02  0.00000000e+00  0.00000000e+00  1.65995682e-03  0.00000000e+00  6.62786001e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.34454023e-01  1.02696523e+00  8.47672528e-01  3.83768633e-04  2.57428300e-04  7.65330107e-04  -5.72971027e-04  4.48837853e-04
9.91902184e-01  0.00000000e+00  3.00000000e-01  9.99823236e-01  mix  3.70985940e+02  1.26032337e+03  0.00000000e+00  0.00000000e+00  1.64462720e+03  1.50755872e-05  9.05512206e-01  1.59688214e-04  1.28708952e-05  8.98188257e-05  9.99840312e-01  2.20469203e-06  9.05422387e-01  2.14720588e+02  7.94070562e+00  1.50484474e+01  2.98307162e-05  5.53882575e-05  5.75094197e-05  0.00000000e+00  0.00000000e+00  1.61023607e-06  0.00000000e+00  1.53495849e-05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99842516e-01  1.09425603e+00  9.05422387e-01  1.35407119e-05  1.53487531e-06  3.86126855e-06  6.61407609e-07  1.05529110e-05
8.89060659e-01  1.00000000e-01  3.00000000e-01  1.09214742e-01  mix  3.46374792e+02  1.09305205e+03  4.34957937e-03  4.89233139e-03  1.61903881e+03  3.96303246e-03  6.24019683e-01  8.82173054e-01  6.84870307e-03  5.16178622e-01  1.17826946e-01  -2.88567061e-03  1.07841061e-01  1.13908413e+02  -1.56283417e+02  9.28932651e+01  1.39402933e-01  3.23348057e-01  2.86875348e-01  0.00000000e+00  0.00000000e+00  3.57976724e-02  2.64719727e-248  9.67490439e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.43513629e-90  1.14941276e-01  1.30698502e-01  1.07841061e-01  4.10851192e-03  -1.45479458e-04  2.05461092e-03  -8.65701182e-04  2.77412272e-03
9.14771041e-01  1.00000000e-01  3.00000000e-01  4.01713280e-01  mix  3.49041766e+02  1.13471842e+03  5.27253194e-03  5.76377225e-03  1.62199915e+03  2.54742303e-03  7.21684999e-01  5.77165381e-01  8.54104575e-03  3.36691966e-01  4.22834619e-01  -5.99362272e-03  3.84993034e-01  1.34058328e+02  -1.35575261e+02  8.09351570e+01  9.27563453e-02  2.10429859e-01  1.89768782e-01  0.00000000e+00  0.00000000e+00  2.15025111e-02  3.71692384e-239  6.27078837e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.50850260e-103  4.16840996e-01  4.66669827e-01  3.84993034e-01  2.41799558e-03  1.29427450e-04  2.56231372e-03  -1.79808682e-03  1.78319612e-03
9.40481422e-01  1.00000000e-01  3.00000000e-01  6.89012449e-01  mix  3.51380274e+02  1.17645147e+03  6.13867749e-03  6.52716507e-03  1.62451926e+03  1.60464605e-03  8.11901636e-01  2.92256456e-01  6.78579811e-03  1.69695519e-01  7.07743544e-01  -5.18115206e-03  6.42206117e-01  1.50746525e+02  -1.14899640e+02  7.00236350e+01  4.78960380e-02  1.06002546e-01  9.72501123e-02  0.00000000e+00  0.00000000e+00  9.77259359e-03  2.90898505e-229  3.13351666e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.87727867e-118  7.02562392e-01  7.78462122e-01  6.42206117e-01  1.15154748e-03  4.53098567e-04  2.03573943e-03  -1.55434562e-03  1.12325223e-03
9.66191803e-01  1.00000000e-01  3.00000000e-01  9.30648056e-01  mix  3.55943451e+02  1.21826838e+03  6.83547935e-03  7.07466088e-03  1.62929444e+03  6.41174476e-04  8.84232330e-01  6.36160230e-02  2.54989892e-03  3.65753641e-02  9.36383977e-01  -1.90872444e-03  8.47656966e-01  1.75046221e+02  -7.66785347e+01  5.20421067e+01  1.08355052e-02  2.28311568e-02  2.16642929e-02  0.00000000e+00  0.00000000e+00  1.65960312e-03  1.17453423e-209  6.62546493e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50911532e-148  9.34475253e-01  1.02701971e+00  8.47656966e-01  3.83886005e-04  2.57288471e-04  7.64969676e-04  -5.72617333e-04  4.48822133e-04
8.37639897e-01  2.00000000e+01  3.00000000e-01  2.94947251e-01  mix  2.99641293e+02  1.02246661e+03  9.61668811e-01  1.14806949e+00  1.55382731e+03  5.65888772e-03  6.59621949e-01  6.86929516e-01  1.23723794e-02  3.74851011e-01  3.13070484e-01  -6.71349172e-03  2.84770938e-01  1.25727630e+02  -1.36749883e+02  8.39401807e+01  1.15839726e-01  2.63930778e-01  2.06354121e-01  2.92072521e-06  3.52491229e-04  3.02912400e-02  1.22191910e-03  6.56301594e-02  8.68860130e-10  2.38593396e-07  2.88972236e-05  3.27702423e-03  3.06356992e-01  3.48083521e-01  2.84770938e-01  4.70870965e-03  9.50178067e-04  3.71171383e-03  -2.01404752e-03  3.96122140e-03
