# T_grid = [ 0.   0.1 20.  50. ]
# eta = 1.0
# flags.deltas = True
# flags.hyperons = True
# flags.include_pseudoscalars = True
# flags.include_thermal_vectors = True
# flags.muons = True
# flags.neutrinos = False
# flags.phi_field = True
# flags.photons = True
# flags.sigma_star = False
# mode = beta_eq_neutrinoless
# nB_grid = [0.0149077  0.04061808 0.06632846 0.09203884 0.11774922 0.14345961
 0.16916999 0.19488037 0.22059075 0.24630113 0.27201151 0.29772189
 0.32343227 0.34914266 0.37485304 0.40056342 0.4262738  0.45198418
 0.47769456 0.50340494 0.52911532 0.5548257  0.58053609 0.60624647
 0.63195685 0.65766723 0.68337761 0.70908799 0.73479837 0.76050875
 0.78621913 0.81192952 0.8376399  0.86335028 0.88906066 0.91477104
 0.94048142 0.9661918  0.99190218 1.01761257 1.04332295 1.06903333
 1.09474371 1.12045409 1.14616447 1.17187485 1.19758523 1.22329561
 1.249006   1.27471638 1.30042676 1.32613714 1.35184752 1.3775579
 1.40326828 1.42897866 1.45468904 1.48039943 1.50610981 1.53182019
 1.55753057 1.58324095 1.60895133 1.63466171 1.66037209 1.68608248
 1.71179286 1.73750324 1.76321362 1.788924  ]
# parametrization.U_Lambda = -30.0
# parametrization.U_Sigma = 30.0
# parametrization.U_Xi = -10.0
# parametrization.a_omega = 1.2993304088045274
# parametrization.a_rho = 0.6027109576523708
# parametrization.a_sigma = 1.288540783363016
# parametrization.b_omega = 0.5287202055492825
# parametrization.b_sigma = 0.6283822503452887
# parametrization.c_omega = 0.7973899819091989
# parametrization.c_sigma = 0.9222387744177732
# parametrization.d_omega = 0.6465527825538292
# parametrization.d_sigma = 0.6011982168643085
# parametrization.gamma_omega = 13.342711146111558
# parametrization.gamma_rho = 3.6266966193192673
# parametrization.gamma_sigma = 10.686850458775691
# parametrization.hyperon_couplings = (('Lambda', 1115.683, 0.620082400393217, 0.6666666666666666, 0.0, -0.47140452079103173), ('Sigma+', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma0', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma-', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Xi0', 1314.83, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635), ('Xi-', 1321.68, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635))
# parametrization.m_n = 939.56536
# parametrization.m_omega = 783.0
# parametrization.m_p = 938.27203
# parametrization.m_phi = 1019.45
# parametrization.m_rho = 763.0
# parametrization.m_sigma = 546.212459
# parametrization.n_sat = 0.149077
# parametrization.nucleon_mass_mode = average
# parametrization.x_Delta_omega = 1.2
# parametrization.x_Delta_rho = 1.0
# parametrization.x_Delta_sigma = 1.100615117854091
# vmit.B4 = 170.0
# vmit.a = 0.2
# vmit.m_d = 7.0
# vmit.m_s = 150.0
# vmit.m_u = 5.0
# vmit.name = vMIT_custom
# n_B  T  eta  chi  phase  P  eps  s  S_per_B  mu_B  Y_C  Y_S  Y_B_H  Y_C_H  Y_S_H  Y_B_Q  Y_C_Q  Y_S_Q  mu_eL_H  mu_eL_Q  Y_p  Y_n  Y_Lambda  Y_Sigma+  Y_Sigma0  Y_Sigma-  Y_Xi0  Y_Xi-  Y_Delta++  Y_Delta+  Y_Delta0  Y_Delta-  Y_u  Y_d  Y_s  Y_e  Y_mu-  Y_L_H  Y_L_Q  Y_L_G
8.89060659e-01  0.00000000e+00  1.00000000e+00  4.65695390e-02  mix  3.50222971e+02  1.09307999e+03  0.00000000e+00  0.00000000e+00  1.62340212e+03  4.60524833e-03  6.04846650e-01  9.49474641e-01  4.60474040e-03  5.59182350e-01  5.05253593e-02  5.07934606e-07  4.56643000e-02  9.92236206e+01  1.30278742e+01  1.49371166e-01  3.46280504e-01  3.09056545e-01  0.00000000e+00  0.00000000e+00  3.94070456e-02  0.00000000e+00  1.05359380e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.05258673e-02  5.53859107e-02  4.56643000e-02  4.60524833e-03  0.00000000e+00  4.60474040e-03  5.07934606e-07  0.00000000e+00
9.14771041e-01  0.00000000e+00  1.00000000e+00  3.71156835e-01  mix  3.50222971e+02  1.13481828e+03  0.00000000e+00  0.00000000e+00  1.62340212e+03  2.95567007e-03  7.12160910e-01  6.08633254e-01  2.95173564e-03  3.58447671e-01  3.91366746e-01  3.93443444e-06  3.53713239e-01  9.92236206e+01  1.30278742e+01  9.57500652e-02  2.21973101e-01  1.98111759e-01  0.00000000e+00  0.00000000e+00  2.52607467e-02  0.00000000e+00  6.75375828e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.91370680e-01  4.29016319e-01  3.53713239e-01  2.95567007e-03  0.00000000e+00  2.95173564e-03  3.93443444e-06  0.00000000e+00
9.40481422e-01  0.00000000e+00  1.00000000e+00  6.95744132e-01  mix  3.50222971e+02  1.17655656e+03  0.00000000e+00  0.00000000e+00  1.62340212e+03  1.39628240e-03  8.13607769e-01  2.86427349e-01  1.38910880e-03  1.68688147e-01  7.13572651e-01  7.17359061e-06  6.44919622e-01  9.92236206e+01  1.30278742e+01  4.50606948e-02  1.04462197e-01  9.32328711e-02  0.00000000e+00  0.00000000e+00  1.18878958e-02  0.00000000e+00  3.17836902e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.13579825e-01  7.82218507e-01  6.44919622e-01  1.39628240e-03  0.00000000e+00  1.38910880e-03  7.17359061e-06  0.00000000e+00
9.66191803e-01  0.00000000e+00  1.00000000e+00  1.02033143e+00  Q  3.50222971e+02  1.21829485e+03  0.00000000e+00  0.00000000e+00  1.62340212e+03  -8.01146124e-05  9.09655623e-01  -1.86307471e-02  -9.03549712e-05  -1.09723678e-02  1.01863075e+00  1.02403588e-05  9.20627991e-01  9.92236206e+01  1.30278742e+01  -2.93098551e-03  -6.79477283e-03  -6.06435821e-03  -0.00000000e+00  -0.00000000e+00  -7.73251512e-04  -0.00000000e+00  -2.06737903e-03  -0.00000000e+00  -0.00000000e+00  -0.00000000e+00  -0.00000000e+00  1.01864099e+00  1.11662326e+00  9.20627991e-01  -8.01146124e-05  0.00000000e+00  -9.03549712e-05  1.02403588e-05  0.00000000e+00
8.89060659e-01  1.00000000e-01  1.00000000e+00  4.65374833e-02  mix  3.50224129e+02  1.09308577e+03  4.06057941e-03  4.56726925e-03  1.62340622e+03  4.60484959e-03  6.04845040e-01  9.49509542e-01  4.60434119e-03  5.59214068e-01  5.04904582e-02  5.08400572e-07  4.56309722e-02  9.92192018e+01  1.30322705e+01  1.49378702e-01  3.46282305e-01  3.09082216e-01  0.00000000e+00  0.00000000e+00  3.94088277e-02  1.40181324e-246  1.05357491e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.77585466e-89  5.04909666e-02  5.53494359e-02  4.56309722e-02  4.60484959e-03  6.60872559e-35  4.60434119e-03  5.08400572e-07  0.00000000e+00
9.14771041e-01  1.00000000e-01  1.00000000e+00  3.71145750e-01  mix  3.50224129e+02  1.13482327e+03  5.04919546e-03  5.51962758e-03  1.62340622e+03  2.95537317e-03  7.12150254e-01  6.08645892e-01  2.95143253e-03  3.58462269e-01  3.91354108e-01  3.94063867e-06  3.53687984e-01  9.92192018e+01  1.30322705e+01  9.57533645e-02  2.21970705e-01  1.98125046e-01  0.00000000e+00  0.00000000e+00  2.52614850e-02  8.98577461e-247  6.75352917e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.13834205e-89  3.91358048e-01  4.29016290e-01  3.53687984e-01  2.95537317e-03  4.23626462e-35  2.95143253e-03  3.94063867e-06  0.00000000e+00
9.40481422e-01  1.00000000e-01  1.00000000e+00  6.95754017e-01  mix  3.50224129e+02  1.17656078e+03  6.03781151e-03  6.41991577e-03  1.62340622e+03  1.39608177e-03  8.13588562e-01  2.86418941e-01  1.38889655e-03  1.68686563e-01  7.13581059e-01  7.18521937e-06  6.44901999e-01  9.92192018e+01  1.30322705e+01  4.50599891e-02  1.04455834e-01  9.32344513e-02  0.00000000e+00  0.00000000e+00  1.18876475e-02  4.22856062e-247  3.17810191e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.35685412e-90  7.13588244e-01  7.82252933e-01  6.44901999e-01  1.39608177e-03  1.99351781e-35  1.38889655e-03  7.18521937e-06  0.00000000e+00
8.37639897e-01  2.00000000e+01  1.00000000e+00  2.24557572e-01  mix  3.02957210e+02  1.02237239e+03  9.29888115e-01  1.11012873e+00  1.55792544e+03  6.64825720e-03  6.36217027e-01  7.60322299e-01  6.57940885e-03  4.20631907e-01  2.39677701e-01  6.88483517e-05  2.15585120e-01  9.79536466e+01  1.32815545e+01  1.26062368e-01  2.90992895e-01  2.27648001e-01  3.00259370e-06  3.90256960e-04  3.53601116e-02  1.31043340e-03  7.45780172e-02  3.54079944e-10  2.49254936e-07  3.25124379e-05  3.94445049e-03  2.39746550e-01  2.63701434e-01  2.15585120e-01  5.46266411e-03  1.18559309e-03  6.57940885e-03  6.88483517e-05  0.00000000e+00
8.63350278e-01  2.00000000e+01  1.00000000e+00  5.78044127e-01  mix  3.02957210e+02  1.06520037e+03  1.10846142e+00  1.28390695e+00  1.55792544e+03  3.64550695e-03  7.60491560e-01  4.01407539e-01  3.47355894e-03  2.22070060e-01  5.98592461e-01  1.71948012e-04  5.38421500e-01  9.79536466e+01  1.32815545e+01  6.65538617e-02  1.53627932e-01  1.20185379e-01  1.58520111e-06  2.06033791e-04  1.86681561e-02  6.91835356e-04  3.93730112e-02  1.86934356e-10  1.31592629e-07  1.71647441e-05  2.08244868e-03  5.98764409e-01  6.58591473e-01  5.38421500e-01  3.01111577e-03  6.34391180e-04  3.47355894e-03  1.71948012e-04  0.00000000e+00
8.89060659e-01  2.00000000e+01  1.00000000e+00  9.31530682e-01  mix  3.02957210e+02  1.10802834e+03  1.28703473e+00  1.44763433e+00  1.55792544e+03  8.16427311e-04  8.77578405e-01  6.32513981e-02  5.47342633e-04  3.49924713e-02  9.36748602e-01  2.69084678e-04  8.42585934e-01  9.79536466e+01  1.32815545e+01  1.04871593e-02  2.42077702e-02  1.89380929e-02  2.49786505e-07  3.24655720e-05  2.94161634e-03  1.09015276e-04  6.20416351e-03  2.94559972e-11  2.07355791e-08  2.70471767e-06  3.28139802e-04  9.37017687e-01  1.03064219e+00  8.42585934e-01  7.01358075e-04  1.15069236e-04  5.47342633e-04  2.69084678e-04  0.00000000e+00
