# T_grid = [ 0.   0.1 20.  50. ]
# eta = 0.0
# flags.deltas = True
# flags.hyperons = True
# flags.include_pseudoscalars = True
# flags.include_thermal_vectors = True
# flags.muons = True
# flags.neutrinos = False
# flags.phi_field = True
# flags.photons = True
# flags.sigma_star = False
# mode = fixed_YC
# nB_grid = [0.0149077  0.04061808 0.06632846 0.09203884 0.11774922 0.14345961
 0.16916999 0.19488037 0.22059075 0.24630113 0.27201151 0.29772189
 0.32343227 0.34914266 0.37485304 0.40056342 0.4262738  0.45198418
 0.47769456 0.50340494 0.52911532 0.5548257  0.58053609 0.60624647
 0.63195685 0.65766723 0.68337761 0.70908799 0.73479837 0.76050875
 0.78621913 0.81192952 0.8376399  0.86335028 0.88906066 0.91477104
 0.94048142 0.9661918  0.99190218 1.01761257 1.04332295 1.06903333
 1.09474371 1.12045409 1.14616447 1.17187485 1.19758523 1.22329561
 1.249006   1.27471638 1.30042676 1.32613714 1.35184752 1.3775579
 1.40326828 1.42897866 1.45468904 1.48039943 1.50610981 1.53182019
 1.55753057 1.58324095 1.60895133 1.63466171 1.66037209 1.68608248
 1.71179286 1.73750324 1.76321362 1.788924  ]
# parametrization.U_Lambda = -30.0
# parametrization.U_Sigma = 30.0
# parametrization.U_Xi = -10.0
# parametrization.a_omega = 1.2993304088045274
# parametrization.a_rho = 0.6027109576523708
# parametrization.a_sigma = 1.288540783363016
# parametrization.b_omega = 0.5287202055492825
# parametrization.b_sigma = 0.6283822503452887
# parametrization.c_omega = 0.7973899819091989
# parametrization.c_sigma = 0.9222387744177732
# parametrization.d_omega = 0.6465527825538292
# parametrization.d_sigma = 0.6011982168643085
# parametrization.gamma_omega = 13.342711146111558
# parametrization.gamma_rho = 3.6266966193192673
# parametrization.gamma_sigma = 10.686850458775691
# parametrization.hyperon_couplings = (('Lambda', 1115.683, 0.620082400393217, 0.6666666666666666, 0.0, -0.47140452079103173), ('Sigma+', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma0', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma-', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Xi0', 1314.83, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635), ('Xi-', 1321.68, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635))
# parametrization.m_n = 939.56536
# parametrization.m_omega = 783.0
# parametrization.m_p = 938.27203
# parametrization.m_phi = 1019.45
# parametrization.m_rho = 763.0
# parametrization.m_sigma = 546.212459
# parametrization.n_sat = 0.149077
# parametrization.nucleon_mass_mode = average
# parametrization.x_Delta_omega = 1.2
# parametrization.x_Delta_rho = 1.0
# parametrization.x_Delta_sigma = 1.100615117854091
# vmit.B4 = 170.0
# vmit.a = 0.2
# vmit.m_d = 7.0
# vmit.m_s = 150.0
# vmit.m_u = 5.0
# vmit.name = vMIT_custom
# n_B  T  eta  chi  phase  P  eps  s  S_per_B  mu_B  Y_C  Y_S  Y_B_H  Y_C_H  Y_S_H  Y_B_Q  Y_C_Q  Y_S_Q  mu_eG  Y_p  Y_n  Y_Lambda  Y_Sigma+  Y_Sigma0  Y_Sigma-  Y_Xi0  Y_Xi-  Y_Delta++  Y_Delta+  Y_Delta0  Y_Delta-  Y_u  Y_d  Y_s  Y_e  Y_mu-  Y_L_H  Y_L_Q  Y_L_G
3.49142655e-01  0.00000000e+00  0.00000000e+00  4.85831236e-03  mix  4.70377593e+01  3.50256802e+02  0.00000000e+00  0.00000000e+00  1.13681428e+03  1.00000000e-01  3.28846002e-02  9.93523874e-01  1.04653003e-01  2.52032802e-02  6.47612644e-03  -4.65300338e-03  7.68132000e-03  1.74200962e+02  1.04653003e-01  8.63667590e-01  2.52032802e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.82312306e-03  9.92393626e-03  7.68132000e-03  6.65522472e-02  3.34477528e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
3.74853036e-01  0.00000000e+00  0.00000000e+00  2.08547267e-02  mix  5.50971404e+01  3.79798529e+02  0.00000000e+00  0.00000000e+00  1.15808399e+03  1.00000000e-01  8.36241461e-02  9.73173760e-01  1.18540041e-01  5.20492175e-02  2.68262397e-02  -1.85400410e-02  3.15749286e-02  1.77700333e+02  1.18540041e-01  8.02584502e-01  5.20492175e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.28619871e-03  4.06175918e-02  3.15749286e-02  6.57987881e-02  3.42012119e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
4.00563417e-01  0.00000000e+00  0.00000000e+00  3.54716140e-02  mix  6.38842083e+01  4.09917451e+02  0.00000000e+00  0.00000000e+00  1.17980635e+03  1.00000000e-01  1.30838562e-01  9.55717835e-01  1.29411597e-01  7.91110186e-02  4.42821654e-02  -2.94115969e-02  5.17275431e-02  1.81051549e+02  1.29411597e-01  7.47195219e-01  7.91110186e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.48705684e-02  6.62483845e-02  5.17275431e-02  6.51253167e-02  3.48746833e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
4.26273799e-01  0.00000000e+00  0.00000000e+00  4.88866686e-02  mix  7.34467844e+01  4.40624980e+02  0.00000000e+00  0.00000000e+00  1.20204005e+03  1.00000000e-01  1.74391455e-01  9.40473717e-01  1.37959163e-01  1.05374588e-01  5.95262830e-02  -3.79591630e-02  6.90168671e-02  1.84269776e+02  1.37959163e-01  6.97139966e-01  1.05374588e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.15671200e-02  8.79948620e-02  6.90168671e-02  6.45190951e-02  3.54809049e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
4.51984180e-01  0.00000000e+00  0.00000000e+00  6.12072835e-02  mix  8.38036095e+01  4.71933053e+02  0.00000000e+00  0.00000000e+00  1.22476738e+03  1.00000000e-01  2.14450369e-01  9.26991097e-01  1.44655531e-01  1.30424042e-01  7.30089034e-02  -4.46555312e-02  8.40263275e-02  1.87367806e+02  1.44655531e-01  6.51911524e-01  1.30424042e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.83533723e-02  1.06647011e-01  8.40263275e-02  6.39700110e-02  3.60299890e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
4.77694561e-01  0.00000000e+00  0.00000000e+00  7.25463739e-02  mix  9.49592850e+01  5.03852878e+02  0.00000000e+00  0.00000000e+00  1.24794261e+03  1.00000000e-01  2.51286186e-01  9.14914537e-01  1.49865483e-01  1.54074114e-01  8.50854634e-02  -4.98654830e-02  9.72120717e-02  1.90356539e+02  1.49865483e-01  6.10974939e-01  1.54074114e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.52199804e-02  1.22824338e-01  9.72120717e-02  6.34699270e-02  3.65300730e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
5.03404942e-01  0.00000000e+00  0.00000000e+00  8.25745323e-02  mix  1.06904224e+02  5.36394404e+02  0.00000000e+00  0.00000000e+00  1.27149791e+03  1.00000000e-01  2.84871201e-01  9.04475489e-01  1.53582314e-01  1.76521874e-01  9.55245105e-02  -5.35823136e-02  1.08349327e-01  1.93245355e+02  1.53932666e-01  5.74020950e-01  1.76171522e-01  0.00000000e+00  0.00000000e+00  3.50352225e-04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.19421969e-02  1.36282008e-01  1.08349327e-01  6.30122158e-02  3.69877842e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
5.29115323e-01  0.00000000e+00  0.00000000e+00  8.68382530e-02  mix  1.19452335e+02  5.69562506e+02  0.00000000e+00  0.00000000e+00  1.29504195e+03  1.00000000e-01  3.14473002e-01  9.00704544e-01  1.53277318e-01  2.02647151e-01  9.92954560e-02  -5.32773181e-02  1.11825850e-01  1.96042393e+02  1.57889726e-01  5.43682588e-01  1.94519821e-01  0.00000000e+00  0.00000000e+00  1.09748633e-03  0.00000000e+00  3.51492187e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.60181379e-02  1.40042380e-01  1.11825850e-01  6.25914208e-02  3.74085792e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
5.54825704e-01  0.00000000e+00  0.00000000e+00  8.79317040e-02  mix  1.32648678e+02  6.03355298e+02  0.00000000e+00  0.00000000e+00  1.31865236e+03  1.00000000e-01  3.41412637e-01  9.00422743e-01  1.51062370e-01  2.30057969e-01  9.95772568e-02  -5.10623699e-02  1.11354668e-01  1.98754767e+02  1.61639314e-01  5.17772172e-01  2.10434314e-01  0.00000000e+00  0.00000000e+00  1.53023298e-03  0.00000000e+00  9.04671097e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.85148869e-02  1.38862215e-01  1.11354668e-01  6.22030057e-02  3.77969943e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
5.80536086e-01  0.00000000e+00  0.00000000e+00  8.78842841e-02  mix  1.46556981e+02  6.37776021e+02  0.00000000e+00  0.00000000e+00  1.34243157e+03  1.00000000e-01  3.66303993e-01  9.01252769e-01  1.48327482e-01  2.56654735e-01  9.87472309e-02  -4.83274820e-02  1.09649257e-01  2.01388738e+02  1.65013183e-01  4.94485978e-01  2.25067906e-01  0.00000000e+00  0.00000000e+00  1.78457374e-03  0.00000000e+00  1.49011277e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.04197489e-02  1.36172686e-01  1.09649257e-01  6.18431658e-02  3.81568342e-02  0.00000000e+00  0.00000000e+00  1.00000000e-01
