# T_grid = [ 0.   0.1 20.  50. ]
# eta = 0.3
# flags.deltas = True
# flags.hyperons = True
# flags.include_pseudoscalars = True
# flags.include_thermal_vectors = True
# flags.muons = True
# flags.neutrinos = False
# flags.phi_field = True
# flags.photons = True
# flags.sigma_star = False
# mode = fixed_YC
# nB_grid = [0.0149077  0.04061808 0.06632846 0.09203884 0.11774922 0.14345961
 0.16916999 0.19488037 0.22059075 0.24630113 0.27201151 0.29772189
 0.32343227 0.34914266 0.37485304 0.40056342 0.4262738  0.45198418
 0.47769456 0.50340494 0.52911532 0.5548257  0.58053609 0.60624647
 0.63195685 0.65766723 0.68337761 0.70908799 0.73479837 0.76050875
 0.78621913 0.81192952 0.8376399  0.86335028 0.88906066 0.91477104
 0.94048142 0.9661918  0.99190218 1.01761257 1.04332295 1.06903333
 1.09474371 1.12045409 1.14616447 1.17187485 1.19758523 1.22329561
 1.249006   1.27471638 1.30042676 1.32613714 1.35184752 1.3775579
 1.40326828 1.42897866 1.45468904 1.48039943 1.50610981 1.53182019
 1.55753057 1.58324095 1.60895133 1.63466171 1.66037209 1.68608248
 1.71179286 1.73750324 1.76321362 1.788924  ]
# parametrization.U_Lambda = -30.0
# parametrization.U_Sigma = 30.0
# parametrization.U_Xi = -10.0
# parametrization.a_omega = 1.2993304088045274
# parametrization.a_rho = 0.6027109576523708
# parametrization.a_sigma = 1.288540783363016
# parametrization.b_omega = 0.5287202055492825
# parametrization.b_sigma = 0.6283822503452887
# parametrization.c_omega = 0.7973899819091989
# parametrization.c_sigma = 0.9222387744177732
# parametrization.d_omega = 0.6465527825538292
# parametrization.d_sigma = 0.6011982168643085
# parametrization.gamma_omega = 13.342711146111558
# parametrization.gamma_rho = 3.6266966193192673
# parametrization.gamma_sigma = 10.686850458775691
# parametrization.hyperon_couplings = (('Lambda', 1115.683, 0.620082400393217, 0.6666666666666666, 0.0, -0.47140452079103173), ('Sigma+', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma0', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma-', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Xi0', 1314.83, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635), ('Xi-', 1321.68, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635))
# parametrization.m_n = 939.56536
# parametrization.m_omega = 783.0
# parametrization.m_p = 938.27203
# parametrization.m_phi = 1019.45
# parametrization.m_rho = 763.0
# parametrization.m_sigma = 546.212459
# parametrization.n_sat = 0.149077
# parametrization.nucleon_mass_mode = average
# parametrization.x_Delta_omega = 1.2
# parametrization.x_Delta_rho = 1.0
# parametrization.x_Delta_sigma = 1.100615117854091
# vmit.B4 = 170.0
# vmit.a = 0.2
# vmit.m_d = 7.0
# vmit.m_s = 150.0
# vmit.m_u = 5.0
# vmit.name = vMIT_custom
# n_B  T  eta  chi  phase  P  eps  s  S_per_B  mu_B  Y_C  Y_S  Y_B_H  Y_C_H  Y_S_H  Y_B_Q  Y_C_Q  Y_S_Q  mu_eL_H  mu_eL_Q  mu_eG  Y_p  Y_n  Y_Lambda  Y_Sigma+  Y_Sigma0  Y_Sigma-  Y_Xi0  Y_Xi-  Y_Delta++  Y_Delta+  Y_Delta0  Y_Delta-  Y_u  Y_d  Y_s  Y_e  Y_mu-  Y_L_H  Y_L_Q  Y_L_G
9.14771041e-01  0.00000000e+00  3.00000000e-01  7.19256938e-02  mix  3.89314530e+02  1.14428182e+03  0.00000000e+00  0.00000000e+00  1.65964049e+03  1.00000000e-01  5.82780908e-01  9.20475670e-01  9.99019851e-02  5.10717017e-01  7.95243296e-02  9.80148575e-05  7.20638908e-02  2.35557387e+02  6.57022173e+01  2.30391667e+02  1.83553008e-01  3.08423335e-01  3.44848305e-01  0.00000000e+00  0.00000000e+00  1.43333346e-03  0.00000000e+00  8.22176893e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.96223445e-02  8.68867536e-02  7.20638908e-02  5.86498500e-02  4.13501500e-02  2.99705955e-02  2.94044573e-05  7.00000000e-02
9.40481422e-01  0.00000000e+00  3.00000000e-01  2.04375788e-01  mix  4.02928551e+02  1.18756877e+03  0.00000000e+00  0.00000000e+00  1.67282422e+03  1.00000000e-01  6.28732395e-01  7.76469369e-01  9.88003093e-02  4.26386973e-01  2.23530631e-01  1.19969066e-03  2.02345422e-01  2.48061961e+02  1.07643386e+02  2.32319327e+02  1.62517120e-01  2.51282086e-01  2.98953353e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.37168103e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.24730322e-01  2.43516150e-01  2.02345422e-01  5.84082354e-02  4.15917646e-02  2.96400928e-02  3.59907198e-04  7.00000000e-02
9.66191803e-01  0.00000000e+00  3.00000000e-01  3.20755313e-01  mix  4.16865679e+02  1.23123983e+03  0.00000000e+00  0.00000000e+00  1.68600523e+03  1.00000000e-01  6.67627565e-01  6.52775664e-01  9.43726502e-02  3.54782865e-01  3.47224336e-01  5.62734981e-03  3.12844700e-01  2.58852033e+02  1.43363475e+02  2.34213618e+02  1.42983505e-01  2.03620149e-01  2.57561154e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.86108552e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.52851686e-01  3.75976622e-01  3.12844700e-01  5.82842693e-02  4.17157307e-02  2.83117951e-02  1.68820494e-03  7.00000000e-02
9.91902184e-01  0.00000000e+00  3.00000000e-01  4.38218855e-01  mix  4.29497880e+02  1.27526611e+03  0.00000000e+00  0.00000000e+00  1.69759610e+03  1.00000000e-01  7.05111936e-01  5.31150648e-01  8.52912746e-02  2.85721212e-01  4.68849352e-01  1.47087254e-02  4.19390724e-01  2.68171608e+02  1.71910065e+02  2.36075967e+02  1.21152045e-01  1.60138162e-01  2.13999672e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.58607699e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.83558077e-01  5.03599254e-01  4.19390724e-01  5.81767678e-02  4.18232322e-02  2.55873824e-02  4.41261761e-03  7.00000000e-02
1.01761257e+00  0.00000000e+00  3.00000000e-01  5.61785046e-01  mix  4.39990547e+02  1.31959305e+03  0.00000000e+00  0.00000000e+00  1.70691236e+03  1.00000000e-01  7.43868541e-01  4.07284458e-01  7.19267110e-02  2.17863431e-01  5.92715542e-01  2.80732890e-02  5.26005110e-01  2.76900985e+02  1.93808581e+02  2.37907704e+02  9.59576608e-02  1.19412842e-01  1.65964478e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.91852670e-03  2.40309498e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.20788831e-01  6.31352686e-01  5.26005110e-01  5.80712812e-02  4.19287188e-02  2.15780133e-02  8.42198671e-03  7.00000000e-02
1.04332295e+00  0.00000000e+00  3.00000000e-01  6.88920549e-01  mix  4.49118519e+02  1.36416628e+03  0.00000000e+00  0.00000000e+00  1.71476454e+03  1.00000000e-01  7.81649028e-01  2.84095384e-01  5.45844239e-02  1.51486438e-01  7.15904616e-01  4.54155761e-02  6.30162590e-01  2.84903423e+02  2.11643681e+02  2.39710073e+02  6.88105435e-02  8.13072640e-02  1.16468715e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.28274236e-03  1.42261196e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.61320192e-01  7.56231066e-01  6.30162590e-01  5.79686485e-02  4.20313515e-02  1.63753272e-02  1.36246728e-02  7.00000000e-02
1.06903333e+00  0.00000000e+00  3.00000000e-01  8.18969732e-01  mix  4.57230258e+02  1.40895176e+03  0.00000000e+00  0.00000000e+00  1.72152738e+03  1.00000000e-01  8.17623277e-01  1.62393997e-01  3.35599903e-02  8.63730820e-02  8.37606003e-01  6.64400097e-02  7.31250195e-01  2.92036351e+02  2.26737007e+02  2.41484240e+02  4.03208130e-02  4.54769282e-02  6.68194290e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.01600380e-03  6.76082267e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.04046013e-01  8.77521802e-01  7.31250195e-01  5.78685155e-02  4.21314845e-02  1.00679971e-02  1.99320029e-02  7.00000000e-02
1.09474371e+00  0.00000000e+00  3.00000000e-01  9.51923423e-01  mix  4.64433182e+02  1.45392133e+03  0.00000000e+00  0.00000000e+00  1.72734549e+03  1.00000000e-01  8.51792429e-01  4.23495231e-02  9.31873277e-03  2.24735887e-02  9.57650477e-01  9.06812672e-02  8.29318840e-01  2.98343219e+02  2.39678209e+02  2.43231295e+02  1.07538267e-02  1.16283225e-02  1.74611590e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.07112088e-03  1.43509397e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.04833174e+00  9.95300847e-01  8.29318840e-01  5.77699306e-02  4.22300694e-02  2.79561983e-03  2.72043802e-02  7.00000000e-02
1.04332295e+00  0.00000000e+00  3.00000000e-01  3.02987761e-01  mix  5.26211044e+02  1.42817377e+03  0.00000000e+00  0.00000000e+00  1.75921433e+03  3.00000000e-01  6.07767460e-01  6.66273752e-01  2.11631788e-01  3.45474063e-01  3.33726248e-01  8.83682117e-02  2.62293397e-01  3.38534990e+02  3.34241373e+02  3.37245907e+02  2.11631788e-01  1.52383191e-01  2.59043482e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.32152906e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.22094460e-01  3.16790888e-01  2.62293397e-01  1.61599139e-01  1.38400861e-01  6.34895365e-02  2.65104635e-02  2.10000000e-01
1.06903333e+00  0.00000000e+00  3.00000000e-01  4.67970041e-01  mix  5.28334327e+02  1.47636284e+03  0.00000000e+00  0.00000000e+00  1.75942468e+03  3.00000000e-01  6.49248211e-01  4.96578223e-01  1.60262786e-01  2.56677796e-01  5.03421777e-01  1.39737214e-01  3.92570416e-01  3.40304395e+02  3.39359291e+02  3.39862786e+02  1.60262786e-01  1.12215184e-01  1.91522709e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.25775434e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.43158991e-01  4.74535925e-01  3.92570416e-01  1.61412696e-01  1.38587304e-01  4.80788358e-02  4.19211642e-02  2.10000000e-01
