# T_grid = [ 0.   0.1 20.  50. ]
# eta = 1.0
# flags.deltas = True
# flags.hyperons = True
# flags.include_pseudoscalars = True
# flags.include_thermal_vectors = True
# flags.muons = True
# flags.neutrinos = False
# flags.phi_field = True
# flags.photons = True
# flags.sigma_star = False
# mode = fixed_YC
# nB_grid = [0.0149077  0.04061808 0.06632846 0.09203884 0.11774922 0.14345961
 0.16916999 0.19488037 0.22059075 0.24630113 0.27201151 0.29772189
 0.32343227 0.34914266 0.37485304 0.40056342 0.4262738  0.45198418
 0.47769456 0.50340494 0.52911532 0.5548257  0.58053609 0.60624647
 0.63195685 0.65766723 0.68337761 0.70908799 0.73479837 0.76050875
 0.78621913 0.81192952 0.8376399  0.86335028 0.88906066 0.91477104
 0.94048142 0.9661918  0.99190218 1.01761257 1.04332295 1.06903333
 1.09474371 1.12045409 1.14616447 1.17187485 1.19758523 1.22329561
 1.249006   1.27471638 1.30042676 1.32613714 1.35184752 1.3775579
 1.40326828 1.42897866 1.45468904 1.48039943 1.50610981 1.53182019
 1.55753057 1.58324095 1.60895133 1.63466171 1.66037209 1.68608248
 1.71179286 1.73750324 1.76321362 1.788924  ]
# parametrization.U_Lambda = -30.0
# parametrization.U_Sigma = 30.0
# parametrization.U_Xi = -10.0
# parametrization.a_omega = 1.2993304088045274
# parametrization.a_rho = 0.6027109576523708
# parametrization.a_sigma = 1.288540783363016
# parametrization.b_omega = 0.5287202055492825
# parametrization.b_sigma = 0.6283822503452887
# parametrization.c_omega = 0.7973899819091989
# parametrization.c_sigma = 0.9222387744177732
# parametrization.d_omega = 0.6465527825538292
# parametrization.d_sigma = 0.6011982168643085
# parametrization.gamma_omega = 13.342711146111558
# parametrization.gamma_rho = 3.6266966193192673
# parametrization.gamma_sigma = 10.686850458775691
# parametrization.hyperon_couplings = (('Lambda', 1115.683, 0.620082400393217, 0.6666666666666666, 0.0, -0.47140452079103173), ('Sigma+', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma0', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Sigma-', 1190.0, 0.47401772183095087, 0.6666666666666666, 2.0, -0.47140452079103173), ('Xi0', 1314.83, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635), ('Xi-', 1321.68, 0.30149136715988756, 0.3333333333333333, 1.0, -0.9428090415820635))
# parametrization.m_n = 939.56536
# parametrization.m_omega = 783.0
# parametrization.m_p = 938.27203
# parametrization.m_phi = 1019.45
# parametrization.m_rho = 763.0
# parametrization.m_sigma = 546.212459
# parametrization.n_sat = 0.149077
# parametrization.nucleon_mass_mode = average
# parametrization.x_Delta_omega = 1.2
# parametrization.x_Delta_rho = 1.0
# parametrization.x_Delta_sigma = 1.100615117854091
# vmit.B4 = 170.0
# vmit.a = 0.2
# vmit.m_d = 7.0
# vmit.m_s = 150.0
# vmit.m_u = 5.0
# vmit.name = vMIT_custom
# n_B  T  eta  chi  phase  P  eps  s  S_per_B  mu_B  Y_C  Y_S  Y_B_H  Y_C_H  Y_S_H  Y_B_Q  Y_C_Q  Y_S_Q  mu_eL_H  mu_eL_Q  Y_p  Y_n  Y_Lambda  Y_Sigma+  Y_Sigma0  Y_Sigma-  Y_Xi0  Y_Xi-  Y_Delta++  Y_Delta+  Y_Delta0  Y_Delta-  Y_u  Y_d  Y_s  Y_e  Y_mu-  Y_L_H  Y_L_Q  Y_L_G
9.40481422e-01  0.00000000e+00  1.00000000e+00  9.62684883e-02  mix  4.10558112e+02  1.18784342e+03  0.00000000e+00  0.00000000e+00  1.68185832e+03  1.00000000e-01  6.00911842e-01  8.93498222e-01  9.58629559e-02  5.06157262e-01  1.06501778e-01  4.13704410e-03  9.47545803e-02  2.36485353e+02  1.81509768e+02  1.79310756e-01  2.90581289e-01  3.40158376e-01  0.00000000e+00  0.00000000e+00  8.96714795e-04  0.00000000e+00  8.25510855e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.10638822e-01  1.14111931e-01  9.47545803e-02  5.85528543e-02  4.14471457e-02  9.58629559e-02  4.13704410e-03  0.00000000e+00
9.66191803e-01  0.00000000e+00  1.00000000e+00  2.60728866e-01  mix  4.19848971e+02  1.23166546e+03  0.00000000e+00  0.00000000e+00  1.69006691e+03  1.00000000e-01  6.53718009e-01  7.16302348e-01  8.60678276e-02  4.02545942e-01  2.83697652e-01  1.39321724e-02  2.51172067e-01  2.45244971e+02  1.94658046e+02  1.48553813e-01  2.27688579e-01  2.77573971e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.24859856e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.97629824e-01  3.02291065e-01  2.51172067e-01  5.83576499e-02  4.16423501e-02  8.60678276e-02  1.39321724e-02  0.00000000e+00
9.91902184e-01  0.00000000e+00  1.00000000e+00  4.18400198e-01  mix  4.28676611e+02  1.27573027e+03  0.00000000e+00  0.00000000e+00  1.69763299e+03  1.00000000e-01  7.01919768e-01  5.52296239e-01  7.31685355e-02  3.07637729e-01  4.47703761e-01  2.68314645e-02  3.94282039e-01  2.53127190e+02  2.06838187e+02  1.18241085e-01  1.71489975e-01  2.17492630e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.50725497e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.74535225e-01  4.74294018e-01  3.94282039e-01  5.82082600e-02  4.17917400e-02  7.31685355e-02  2.68314645e-02  0.00000000e+00
1.01761257e+00  0.00000000e+00  1.00000000e+00  5.72808074e-01  mix  4.36752555e+02  1.32001445e+03  0.00000000e+00  0.00000000e+00  1.70433846e+03  1.00000000e-01  7.47161059e-01  3.97507612e-01  5.73280530e-02  2.19440593e-01  6.02492388e-01  4.26719470e-02  5.27720466e-01  2.60217438e+02  2.17823417e+02  8.76456264e-02  1.20738967e-01  1.58805446e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.03175734e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.45164335e-01  6.34592362e-01  5.27720466e-01  5.80852435e-02  4.19147565e-02  5.73280530e-02  4.26719470e-02  0.00000000e+00
1.04332295e+00  0.00000000e+00  1.00000000e+00  7.25303593e-01  mix  4.44006349e+02  1.36449265e+03  0.00000000e+00  0.00000000e+00  1.71016955e+03  1.00000000e-01  7.90112198e-01  2.50447835e-01  3.89186152e-02  1.37134282e-01  7.49552165e-01  6.10813848e-02  6.52977916e-01  2.66636645e+02  2.27622851e+02  5.66963602e-02  7.45615412e-02  1.01245585e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.66603417e-04  1.77777450e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.10633550e-01  7.85045030e-01  6.52977916e-01  5.79770561e-02  4.20229439e-02  3.89186152e-02  6.10813848e-02  0.00000000e+00
1.06903333e+00  0.00000000e+00  1.00000000e+00  8.76197634e-01  mix  4.50518971e+02  1.40913977e+03  0.00000000e+00  0.00000000e+00  1.71524686e+03  1.00000000e-01  8.30991147e-01  1.10643394e-01  1.84269158e-02  6.03004117e-02  8.89356606e-01  8.15730842e-02  7.70690736e-01  2.72771715e+02  2.36316823e+02  2.55964883e-02  3.23843353e-02  4.50247293e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.68268693e-04  7.16957247e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.70929690e-01  9.26449392e-01  7.70690736e-01  5.78769582e-02  4.21230418e-02  1.84269158e-02  8.15730842e-02  0.00000000e+00
1.04332295e+00  0.00000000e+00  1.00000000e+00  3.03077215e-01  mix  5.26054436e+02  1.42817633e+03  0.00000000e+00  0.00000000e+00  1.75921285e+03  3.00000000e-01  6.07679393e-01  6.66142546e-01  2.10711139e-01  3.45710114e-01  3.33857454e-01  8.92888614e-02  2.61969279e-01  3.38080495e+02  3.35310522e+02  2.10711139e-01  1.52813689e-01  2.59525323e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.30923956e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.23146316e-01  3.16456768e-01  2.61969279e-01  1.61599088e-01  1.38400912e-01  2.10711139e-01  8.92888614e-02  0.00000000e+00
1.06903333e+00  0.00000000e+00  1.00000000e+00  4.67998058e-01  mix  5.28296375e+02  1.47636300e+03  0.00000000e+00  0.00000000e+00  1.75942320e+03  3.00000000e-01  6.49229759e-01  4.96541042e-01  1.60050617e-01  2.56727704e-01  5.03458958e-01  1.39949383e-01  3.92502055e-01  3.40166905e+02  3.39516396e+02  1.60050617e-01  1.12311518e-01  1.91630110e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.25487969e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.43408341e-01  4.74466478e-01  3.92502055e-01  1.61412692e-01  1.38587308e-01  1.60050617e-01  1.39949383e-01  0.00000000e+00
1.09474371e+00  0.00000000e+00  1.00000000e+00  6.34789262e-01  mix  5.29908414e+02  1.52459554e+03  0.00000000e+00  0.00000000e+00  1.75940551e+03  3.00000000e-01  6.88900433e-01  3.32938020e-01  1.08923479e-01  1.71575569e-01  6.67061980e-01  1.91076521e-01  5.17324864e-01  3.41802172e+02  3.42804217e+02  1.08923479e-01  7.44702787e-02  1.27512956e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.20313062e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.58138502e-01  6.25722575e-01  5.17324864e-01  1.61233436e-01  1.38766564e-01  1.08923479e-01  1.91076521e-01  0.00000000e+00
1.12045409e+00  0.00000000e+00  1.00000000e+00  8.02640220e-01  mix  5.31101546e+02  1.57286076e+03  0.00000000e+00  0.00000000e+00  1.75927233e+03  3.00000000e-01  7.26781298e-01  1.75803966e-01  5.82196575e-02  9.03454998e-02  8.24196034e-01  2.41780343e-01  6.36435798e-01  3.43134320e+02  3.45425738e+02  5.81945681e-02  3.89700089e-02  6.69081879e-02  2.50893774e-05  0.00000000e+00  0.00000000e+00  1.17061112e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.06597638e+00  7.70175928e-01  6.36435798e-01  1.61061007e-01  1.38938993e-01  5.82196575e-02  2.41780343e-01  0.00000000e+00
