R_km,M_sun
9.855017858886370163e+00,1.076593612192759064e+00
9.913494612027101027e+00,1.075935213769977583e+00
9.971971365167831891e+00,1.075581556082466195e+00
1.003044811830856275e+01,1.075527281885721553e+00
1.008892487144929362e+01,1.075760134328145101e+00
1.014740162459002448e+01,1.076265694235404524e+00
1.019869320980984106e+01,1.076931939664907301e+00
1.020587837773075535e+01,1.077021098253980957e+00
1.026435513087148621e+01,1.077942937363481901e+00
1.032283188401221707e+01,1.079050649565871822e+00
1.032535884071025478e+01,1.079101371509044949e+00
1.038130863715294794e+01,1.080209395124294591e+00
1.043226211770136835e+01,1.081270803353182819e+00
1.043978539029367880e+01,1.081426790625936718e+00
1.049826214343440967e+01,1.082574296826626536e+00
1.054535209948919494e+01,1.083440235197320467e+00
1.055673889657514053e+01,1.083651196855889065e+00
1.061521564971587139e+01,1.084569726233652220e+00
1.067369240285660403e+01,1.085360277179701294e+00
1.069673520319244808e+01,1.085609667041458337e+00
1.073216915599733312e+01,1.086000943970347299e+00
1.079064590913806398e+01,1.086545826210255195e+00
1.084912266227879485e+01,1.087062682541626746e+00
1.090759941541952571e+01,1.087616676513701197e+00
1.092255708653238955e+01,1.087779098885595985e+00
1.096607616856025658e+01,1.088268153134773319e+00
1.102455292170098744e+01,1.089074068966228159e+00
1.107631283838794722e+01,1.089948530729733855e+00
1.108302967484171830e+01,1.090067696149710663e+00
1.114150642798244917e+01,1.091294256405400898e+00
1.117479846251786668e+01,1.092117962573871504e+00
1.119998318112318003e+01,1.092782764285025188e+00
1.124926377393168764e+01,1.094287394418009374e+00
1.125845993426391090e+01,1.094590620170773798e+00
1.130833094082660750e+01,1.096456826262147022e+00
1.131693668740464176e+01,1.096807646995183960e+00
1.135699702456595794e+01,1.098626258106284892e+00
1.137541344054537262e+01,1.099539200523452775e+00
1.139865878655245446e+01,1.100795689950422540e+00
1.143389019368610526e+01,1.102861218667844589e+00
1.143555424631680317e+01,1.102965121794560410e+00
1.146832446515224468e+01,1.105134553638698058e+00
1.149236694682683435e+01,1.106809982289194361e+00
1.149924490837763891e+01,1.107303985482835929e+00
1.152874422337749927e+01,1.109473417326973577e+00
1.155084369996756521e+01,1.111101674285217333e+00
1.155819606512386599e+01,1.111642849171111447e+00
1.158832561193227839e+01,1.113812281015249095e+00
1.160932045310829608e+01,1.115253179446050069e+00
1.162024687051907712e+01,1.115981712859386965e+00
1.165503951162931706e+01,1.118151144703524613e+00
1.166779720624902694e+01,1.118884899647081488e+00
1.169417350789265164e+01,1.120320576547662483e+00
1.172627395938975603e+01,1.121894122420195483e+00
1.173937415050223798e+01,1.122490008391800131e+00
1.178475071253048867e+01,1.124334403165705654e+00
1.179357232029817659e+01,1.124659440235938002e+00
1.184322746567121953e+01,1.126288816187796193e+00
1.186186173786806641e+01,1.126828872080075650e+00
1.190170421881195040e+01,1.127857506467386139e+00
1.195287507665974935e+01,1.128998303924213520e+00
1.196018097195268126e+01,1.129143985661537508e+00
1.201865772509341213e+01,1.130177293089395407e+00
1.207713447823414299e+01,1.131096211077539770e+00
1.208188282418765169e+01,1.131167735768351168e+00
1.213561123137487385e+01,1.131911434767710611e+00
1.219408798451560472e+01,1.132755046983629166e+00
1.222981515796503516e+01,1.133337167612489038e+00
1.225256473765633558e+01,1.133687287889320494e+00
1.231104149079706644e+01,1.134759617042226054e+00
1.234451735246687321e+01,1.135506599456626686e+00
1.236951824393779731e+01,1.136051852040234511e+00
1.242799499707852817e+01,1.137603534040144693e+00
1.243037482503511093e+01,1.137676031300764556e+00
1.248647175021925726e+01,1.139410504113150813e+00
1.249884198325584528e+01,1.139845463144902205e+00
1.254494850335998990e+01,1.141523109454479323e+00
1.255730086276567192e+01,1.142014894989040075e+00
1.260342525650072076e+01,1.143947839865024907e+00
1.260877371682981263e+01,1.144184326833177945e+00
1.265548197606091385e+01,1.146353758677315593e+00
1.266190200964145163e+01,1.146667788495216556e+00
1.269904095522796972e+01,1.148523190521453241e+00
1.272037876278218249e+01,1.149669368986723450e+00
1.273952154625944111e+01,1.150692622365591111e+00
1.277722743917393622e+01,1.152862054209728981e+00
1.277885551592291336e+01,1.152958674630547575e+00
1.281468658426475038e+01,1.155031486053866630e+00
1.283733226906364422e+01,1.156445455799350874e+00
1.284988853817531052e+01,1.157200917898004278e+00
1.288423837675178163e+01,1.159370349742142148e+00
1.289580902220437508e+01,1.160135839012961023e+00
1.291795507152860623e+01,1.161539781586280018e+00
1.295008525489294193e+01,1.163709213430417666e+00
1.295428577534510595e+01,1.164000912383324815e+00
1.298243976572734049e+01,1.165878645274555314e+00
1.301276252848583681e+01,1.168048077118693184e+00
1.301276252848583681e+01,1.168048077118693184e+00
1.304338071682659539e+01,1.170217508962831054e+00
1.307123928162656767e+01,1.172341120410122617e+00
1.307185289682700535e+01,1.172386940806968703e+00
1.310007437325213608e+01,1.174556372651106351e+00
1.312625091160219348e+01,1.176725804495244221e+00
1.312971603476729854e+01,1.177025025162670158e+00
1.315158158621550122e+01,1.178895236339382091e+00
1.317510005301243403e+01,1.181064668183519739e+00
1.318819278790803118e+01,1.182356815939190398e+00
1.319712765375717289e+01,1.183234100027657609e+00
1.321775133118588919e+01,1.185403531871795257e+00
1.323655914552413115e+01,1.187572963715933128e+00
1.324666954104876027e+01,1.188842193414933357e+00
1.325390567252009610e+01,1.189742395560070776e+00
1.326987526267640582e+01,1.191911827404208646e+00
1.328420956538745656e+01,1.194081259248346294e+00
1.329702854070367302e+01,1.196250691092484164e+00
1.330514629418949113e+01,1.197783295783116708e+00
1.330860291499850767e+01,1.198420122936621812e+00
1.331923615725900767e+01,1.200589554780759682e+00
1.332872967752050286e+01,1.202758986624897330e+00
1.333725558045810011e+01,1.204928418469035201e+00
1.334498669547949135e+01,1.207097850313172849e+00
1.335209156951025200e+01,1.209267282157310719e+00
1.335872822391506531e+01,1.211436714001448367e+00
1.336362304733022377e+01,1.213112161375033748e+00
1.336515044742569636e+01,1.213606145845586237e+00
1.337176589863708820e+01,1.215775577689723885e+00
1.337829968233195466e+01,1.217945009533861755e+00
1.338481640762129032e+01,1.220114441377999404e+00
1.339135115116453179e+01,1.222283873222137274e+00
1.339791375508687565e+01,1.224453305066274922e+00
1.340449453072195674e+01,1.226622736910412792e+00
1.341107043132017651e+01,1.228792168754550440e+00
1.341761082981871844e+01,1.230961600598688310e+00
1.342209980047095286e+01,1.232456771745633395e+00
1.342429585438118345e+01,1.233131032442825958e+00
1.343133760260744936e+01,1.235300464286963829e+00
1.343820230634985080e+01,1.237469896131101477e+00
1.344485092301577112e+01,1.239639327975239347e+00
1.345125147448598746e+01,1.241808759819376995e+00
1.345737845576524450e+01,1.243978191663514865e+00
1.346321192076901774e+01,1.246147623507652513e+00
1.346873682277930051e+01,1.248317055351790383e+00
1.347394309385794919e+01,1.250486487195928031e+00
1.347882679502612469e+01,1.252655919040065902e+00
1.348057655361168372e+01,1.253484333796488936e+00
1.348367468276028269e+01,1.254825350884203550e+00
1.348835711392470671e+01,1.256994782728341420e+00
1.349274333237628376e+01,1.259164214572479068e+00
1.349690301032027406e+01,1.261333646416616938e+00
1.350092863594080050e+01,1.263503078260754586e+00
1.350493407494521492e+01,1.265672510104892456e+00
1.350904917131599881e+01,1.267841941949030105e+00
1.351340985806054285e+01,1.270011373793167975e+00
1.351814441701073122e+01,1.272180805637305845e+00
1.352335792637879130e+01,1.274350237481443493e+00
1.352911799910519441e+01,1.276519669325581141e+00
1.353544505264420827e+01,1.278689101169719011e+00
1.353905330675241458e+01,1.279819687901518455e+00
1.354274971724933074e+01,1.280858533013856881e+00
1.355108399604162805e+01,1.283027964857994530e+00
1.355982812064015519e+01,1.285197396702132178e+00
1.356881372964447507e+01,1.287366828546270048e+00
1.357786255201757797e+01,1.289536260390407918e+00
1.358680210268103394e+01,1.291705692234545566e+00
1.359547690879341353e+01,1.293875124078683214e+00
1.359753005989314545e+01,1.294403122315283650e+00
1.360465005998712051e+01,1.296044555922821084e+00
1.361352573872565941e+01,1.298213987766958954e+00
1.362171441171015296e+01,1.300383419611096603e+00
1.362915169398548443e+01,1.302552851455234251e+00
1.363579598981525720e+01,1.304722283299372121e+00
1.364162403789644529e+01,1.306891715143509991e+00
1.364662737769351253e+01,1.309061146987647639e+00
1.365080989473849371e+01,1.311230578831785287e+00
1.365418628109861565e+01,1.313400010675923157e+00
1.365600681303387809e+01,1.314918253184930386e+00
1.365689542205754492e+01,1.315569442520061028e+00
1.365901032779018998e+01,1.317738874364198676e+00
1.366030600966677611e+01,1.319908306208336324e+00
1.366083417515366705e+01,1.322077738052474194e+00
1.366064708791569871e+01,1.324247169896612064e+00
1.365979009733072225e+01,1.326416601740749712e+00
1.365829211130280818e+01,1.328586033584887582e+00
1.365615481649862950e+01,1.330755465429025231e+00
1.365600681303387631e+01,1.330869941077345908e+00
