R_km,M_sun
9.984511372259627038e+00,1.114170185899550969e+00
1.005478828073742292e+01,1.112684396674715082e+00
1.012506518921521703e+01,1.111702787267398351e+00
1.019534209769301292e+01,1.111188148368203787e+00
1.026561900617080703e+01,1.111117767319232064e+00
1.033589591464860291e+01,1.111475361184987021e+00
1.040617282312639880e+01,1.112244922242038525e+00
1.047644973160419291e+01,1.113409386102113263e+00
1.054672664008198879e+01,1.114954756148851978e+00
1.059005319510966459e+01,1.116126755220158362e+00
1.061700354855978290e+01,1.116837141503333131e+00
1.068728045703757878e+01,1.119024827091765983e+00
1.074774343322852665e+01,1.121245794100155679e+00
1.075755736551537289e+01,1.121607379011676286e+00
1.082783427399316878e+01,1.124547045120246391e+00
1.086549332973605786e+01,1.126364832980152997e+00
1.089811118247096289e+01,1.127987310094618056e+00
1.095965493800538404e+01,1.131483871860150092e+00
1.096838809094875877e+01,1.132003523706361037e+00
1.103768993051696157e+01,1.136602910740147410e+00
1.103866499942655466e+01,1.136671581060922920e+00
1.110483118299212002e+01,1.141721949620144727e+00
1.110894190790434877e+01,1.142057586741539899e+00
1.116476005835950680e+01,1.146840988500141822e+00
1.117921881638214465e+01,1.148168871981244177e+00
1.121989898561441379e+01,1.151960027380139140e+00
1.124949572485994054e+01,1.154905678978555450e+00
1.127176345393565171e+01,1.157079066260136457e+00
1.131977263333773465e+01,1.162052972922483773e+00
1.132125151595367107e+01,1.162198105140133553e+00
1.137142010398423153e+01,1.167317144020130870e+00
1.139004954181552876e+01,1.169327860811293807e+00
1.142165278222378788e+01,1.172436182900128188e+00
1.146032645029332464e+01,1.176466770310105270e+00
1.147223526118021120e+01,1.177555221780125283e+00
1.152500294238157430e+01,1.182674260660122600e+00
1.153060335877112053e+01,1.183254066519758174e+00
1.158264637853891799e+01,1.187793299540119918e+00
1.160088026724891463e+01,1.189525423428113626e+00
1.164515341275835780e+01,1.192912338420117235e+00
1.167115717572671052e+01,1.195113750103375727e+00
1.171570959862604511e+01,1.198031377300114331e+00
1.174143408420450463e+01,1.199929886879732788e+00
1.179897588281200171e+01,1.203150416180111648e+00
1.181171099268230051e+01,1.203968388160304492e+00
1.188198790116009462e+01,1.207417758486437842e+00
1.190306738727587899e+01,1.208269455060108966e+00
1.195226480963789051e+01,1.210554084062775981e+00
1.201905680494691886e+01,1.213388493940106283e+00
1.202254171811568462e+01,1.213555641234663973e+00
1.209281862659348050e+01,1.216794438863243677e+00
1.213020472187068322e+01,1.218507532820103378e+00
1.216309553507127461e+01,1.220067235088772462e+00
1.223337244354907050e+01,1.223199575203610889e+00
1.224333627490543819e+01,1.223626571700100918e+00
1.230364935202686638e+01,1.226103527731901899e+00
1.237392626050466049e+01,1.228721753374330428e+00
1.237452154767883172e+01,1.228745610580098013e+00
1.244420316898245638e+01,1.231420493094649071e+00
1.249985340856120430e+01,1.233864649460095109e+00
1.251448007746025048e+01,1.234497847594411279e+00
1.258475698593804637e+01,1.238555185380173951e+00
