Mchirp_Msun,LambdaTilde
1.185723635345154792e+00,9.193329673608934627e+01
1.185727849313610305e+00,9.106576850637995335e+01
1.185732063282065152e+00,9.021272122184142006e+01
1.185736277250520221e+00,8.950624972129297419e+01
1.185740491218975512e+00,8.908242991060393479e+01
1.185744705187430581e+00,8.901021538995105686e+01
1.185748919155885650e+00,8.929575754102164353e+01
1.185753133124340941e+00,8.993579795840139468e+01
1.185757347092796010e+00,9.096780776020555948e+01
1.185760894575755398e+00,9.224702242089998094e+01
1.185761561061251079e+00,9.245852850166505732e+01
1.185765775029706370e+00,9.433437094101360287e+01
1.185769988998161439e+00,9.681850532156470024e+01
1.185774202966616730e+00,9.997163455180651681e+01
1.185778416935071800e+00,1.038317086206230186e+02
1.185778633224136458e+00,1.040530561352225334e+02
1.185782630903526869e+00,1.077545644833821825e+02
1.185786844871982160e+00,1.120619012685261993e+02
1.185790366321112010e+00,1.158590898495450858e+02
1.185791058840437229e+00,1.165534354544324032e+02
1.185795272808892298e+00,1.205514157807487265e+02
1.185799486777347589e+00,1.244669911691270130e+02
1.185803087383883403e+00,1.276651235638676383e+02
1.185803700745802658e+00,1.281786924266246785e+02
1.185807914714257727e+00,1.314453838521590967e+02
1.185812128682713018e+00,1.348888164967183343e+02
1.185816342651168087e+00,1.386874177077864658e+02
1.185817156070588796e+00,1.394711572781901907e+02
1.185820556619623378e+00,1.425715608922840261e+02
1.185824770588078447e+00,1.467678196086995115e+02
1.185828960899090845e+00,1.512771909925127432e+02
1.185828984556533516e+00,1.513020442472583227e+02
1.185833198524988807e+00,1.557319129741750885e+02
1.185837412493443876e+00,1.604815396017131377e+02
1.185839597423144820e+00,1.630832247068352956e+02
1.185841626461898946e+00,1.655255820585065294e+02
1.185845840430354237e+00,1.710394767269187639e+02
1.185848472259872555e+00,1.748892584211578480e+02
1.185850054398809306e+00,1.773069621858108746e+02
1.185854268367264375e+00,1.844847408129741950e+02
1.185855441733619564e+00,1.866952921354804005e+02
1.185858482335719666e+00,1.928762258759085171e+02
1.185861011190570080e+00,1.985013258498029529e+02
1.185862696304174735e+00,2.026796382870378181e+02
1.185865605152426339e+00,2.103073595641255054e+02
1.185866910272630026e+00,2.142403983415623259e+02
1.185869471196188574e+00,2.221133932784480578e+02
1.185871124241085095e+00,2.281150370121140725e+02
1.185872747935787785e+00,2.339194269927706102e+02
1.185875338209540164e+00,2.451189620234885354e+02
1.185875485250739381e+00,2.457254607070931627e+02
1.185877770450956881e+00,2.575314944214156867e+02
1.185879510610639898e+00,2.693375281357382391e+02
1.185879552177995455e+00,2.697625824548264291e+02
1.185880780946150015e+00,2.811435618500607916e+02
1.185881495451357903e+00,2.929495955643833440e+02
1.185881673728317098e+00,3.047556292787058965e+02
1.185881407474699945e+00,3.165616629930284489e+02
1.185880856186845023e+00,3.283676967073510014e+02
1.185880183673253541e+00,3.401737304216735538e+02
1.185879552177995455e+00,3.509621214033396654e+02
1.185879504196531764e+00,3.519797641359961062e+02
1.185878926748003437e+00,3.637857978503186587e+02
1.185878321131967450e+00,3.755918315646412111e+02
1.185877673177851976e+00,3.873978652789637636e+02
1.185877007010934125e+00,3.992038989932863160e+02
1.185876416349284979e+00,4.110099327076089253e+02
1.185876080691710577e+00,4.228159664219314209e+02
1.185876235567165038e+00,4.346220001362539733e+02
1.185877079347137375e+00,4.464280338505765258e+02
1.185878665592937864e+00,4.582340675648990782e+02
1.185879552177995455e+00,4.628362611546264702e+02
1.185880872745501913e+00,4.700401012792216306e+02
1.185883536806933813e+00,4.818461349935441831e+02
1.185883766146450524e+00,4.827208087137694292e+02
1.185886567496627242e+00,4.936521687078667355e+02
1.185887980114905593e+00,4.987961391567372971e+02
1.185889807338609714e+00,5.054582024221892880e+02
1.185892194083360662e+00,5.139614597752237160e+02
1.185893127265942537e+00,5.172642361365118404e+02
1.185896408051815953e+00,5.290702698508343929e+02
1.185896408051815953e+00,5.290702698508343929e+02
1.185899607618729368e+00,5.408763035651569453e+02
1.185900622020271022e+00,5.449433139609989212e+02
1.185902546436754079e+00,5.526823372794794977e+02
1.185904835988726314e+00,5.630260267595263031e+02
1.185905157032236312e+00,5.644883709938020502e+02
1.185907454676069506e+00,5.762944047081246026e+02
1.185909049957181383e+00,5.862047910274555989e+02
1.185909357009496956e+00,5.881004384224471551e+02
1.185910874304238360e+00,5.999064721367697075e+02
1.185911942475916137e+00,6.117125058510922599e+02
1.185912512846587274e+00,6.235185395654148124e+02
1.185912507437617558e+00,6.353245732797373648e+02
1.185911842602586086e+00,6.471306069940599173e+02
1.185910470883010381e+00,6.589366407083824697e+02
1.185909049957181383e+00,6.673462302286503700e+02
1.185908448225188927e+00,6.707426744227050222e+02
1.185906000254842940e+00,6.825487081370275746e+02
1.185904835988726314e+00,6.878534269832484824e+02
1.185903395120041726e+00,6.943547418513501270e+02
1.185900834588501374e+00,7.061607755656726795e+02
1.185900622020271022e+00,7.072531982512692821e+02
1.185898336690258681e+00,7.179668092799952319e+02
1.185896408051815953e+00,7.277430394336026893e+02
1.185895909091895684e+00,7.297728429943177844e+02
1.185893396241431974e+00,7.415788767086403368e+02
1.185892194083360884e+00,7.482467556377951041e+02
1.185891037326258557e+00,7.533849104229628892e+02
1.185889130807728620e+00,7.651909441372854417e+02
1.185887980114905593e+00,7.757495028258659886e+02
1.185887853719625573e+00,7.769969778516079941e+02
1.185887012559538434e+00,7.888030115659306603e+02
1.185886122479175020e+00,8.006090452802530990e+02
1.185884714842867060e+00,8.124150789945756514e+02
1.185883766146450524e+00,8.170842710657772159e+02
1.185881842926619356e+00,8.242211127088982039e+02
1.185879552177995455e+00,8.290299502851974012e+02
1.185875338209540164e+00,8.327080384805300355e+02
1.185871124241085095e+00,8.323116486736096249e+02
1.185866910272630026e+00,8.293377016994279529e+02
1.185862696304174735e+00,8.245939185082719405e+02
1.185862438309953859e+00,8.242211127088980902e+02
1.185858482335719666e+00,8.180228358962534685e+02
1.185855353584214456e+00,8.124150789945755378e+02
1.185854268367264375e+00,8.102935985829059291e+02
1.185850054398809306e+00,8.013409204892315074e+02
1.185849720916908767e+00,8.006090452802530990e+02
1.185845840430354237e+00,7.913364554452681432e+02
1.185844793197209368e+00,7.888030115659306603e+02
1.185841626461898946e+00,7.807771408400751625e+02
1.185840140319887936e+00,7.769969778516079941e+02
1.185837412493443876e+00,7.701489652140962789e+02
1.185835461195554830e+00,7.651909441372854417e+02
1.185833198524988807e+00,7.598636750097271033e+02
1.185830544613737381e+00,7.533849104229628892e+02
1.185828984556533516e+00,7.500180612299679979e+02
1.185825332312452574e+00,7.415788767086403368e+02
1.185824770588078447e+00,7.404572327470688151e+02
1.185820556619623378e+00,7.312560024671292922e+02
1.185819936433549326e+00,7.297728429943177844e+02
1.185816342651168087e+00,7.222617437174321822e+02
1.185814504320688023e+00,7.179668092799952319e+02
1.185812128682713018e+00,7.130706125330704026e+02
1.185809151709566356e+00,7.061607755656726795e+02
1.185807914714257727e+00,7.035839171810476955e+02
1.185803993561994618e+00,6.943547418513501270e+02
1.185803700745802658e+00,6.937228376814313151e+02
1.185799486777347589e+00,6.835496237979353964e+02
1.185799114558915068e+00,6.825487081370275746e+02
1.185795272808892298e+00,6.727966040938766810e+02
1.185794545739344175e+00,6.707426744227050222e+02
1.185791058840437229e+00,6.612777093640704607e+02
1.185790270797407953e+00,6.589366407083824697e+02
1.185786844871982160e+00,6.490111474360998045e+02
1.185786237271498011e+00,6.471306069940599173e+02
1.185782630903526869e+00,6.361193814751231912e+02
1.185782380400161706e+00,6.353245732797373648e+02
1.185778626988702733e+00,6.235185395654148124e+02
1.185778416935071800e+00,6.228507554438484703e+02
1.185774922022509559e+00,6.117125058510922599e+02
1.185774202966616730e+00,6.093585117499573016e+02
1.185771273514749868e+00,5.999064721367697075e+02
1.185769988998161439e+00,5.955839000831272187e+02
1.185767714325832278e+00,5.881004384224471551e+02
1.185765775029706370e+00,5.813054524233609754e+02
1.185764309883000189e+00,5.762944047081246026e+02
1.185761561061251079e+00,5.660106617103449480e+02
1.185761144011409307e+00,5.644883709938020502e+02
1.185758234386028676e+00,5.526823372794794977e+02
1.185757347092796010e+00,5.485431803928129284e+02
1.185755654294399886e+00,5.408763035651569453e+02
1.185753471016427252e+00,5.290702698508343929e+02
1.185753133124340941e+00,5.268760661538522072e+02
1.185751586113464873e+00,5.172642361365118404e+02
1.185750090199739093e+00,5.054582024221892880e+02
1.185748959067917552e+00,4.936521687078667355e+02
1.185748919155885650e+00,4.930772032706463506e+02
1.185748085226012050e+00,4.818461349935441831e+02
1.185747536301038574e+00,4.700401012792216306e+02
1.185747275403047585e+00,4.582340675648990782e+02
1.185747253693657743e+00,4.464280338505765258e+02
1.185747393632693880e+00,4.346220001362539733e+02
1.185747557642543581e+00,4.228159664219314209e+02
1.185747521008528427e+00,4.110099327076088116e+02
1.185746985909156948e+00,3.992038989932863160e+02
1.185745674966893537e+00,3.873978652789637636e+02
1.185744705187430581e+00,3.823305910836770067e+02
1.185743433939528080e+00,3.755918315646412111e+02
1.185740491218975512e+00,3.645896414540721366e+02
1.185740279643940021e+00,3.637857978503186587e+02
1.185736284391889050e+00,3.519797641359961062e+02
1.185736277250520221e+00,3.519622224193965963e+02
1.185732063282065152e+00,3.413191012805237392e+02
1.185731629535968557e+00,3.401737304216735538e+02
1.185727849313610083e+00,3.314366987333460770e+02
1.185726601399825553e+00,3.283676967073510582e+02
1.185723635345154792e+00,3.217045274215404902e+02
1.185721507269239083e+00,3.165616629930284489e+02
1.185719421376699723e+00,3.117803072478456556e+02
1.185716574186159722e+00,3.047556292787058965e+02
1.185715207408244432e+00,3.014458313756986740e+02
1.185711915035229991e+00,2.929495955643833440e+02
1.185710993439789362e+00,2.905409358654181347e+02
1.185707558347710355e+00,2.811435618500607916e+02
1.185706779471334293e+00,2.789226419114928035e+02
1.185703495952447062e+00,2.693375281357382391e+02
1.185702565502879002e+00,2.664309657921637040e+02
1.185699717900676742e+00,2.575314944214156867e+02
1.185698351534423933e+00,2.528480738704616613e+02
1.185696229919371403e+00,2.457254607070931627e+02
1.185694137565968864e+00,2.378317812565926488e+02
1.185693059539447258e+00,2.339194269927706102e+02
1.185690227975693789e+00,2.221133932784480578e+02
1.185689923597513573e+00,2.206004851868813148e+02
1.185687709623653774e+00,2.103073595641255054e+02
1.185685710871872578e+00,1.985013258498029529e+02
1.185685709629058504e+00,1.984910405472556647e+02
1.185684145401716627e+00,1.866952921354804005e+02
1.185683231270359128e+00,1.748892584211578480e+02
1.185683014763303955e+00,1.630832247068352956e+02
1.185683534262346184e+00,1.512771909925127432e+02
1.185684842210233292e+00,1.394711572781901907e+02
1.185685709629058504e+00,1.346835351871966111e+02
1.185687039434337953e+00,1.276651235638676383e+02
1.185689923597513573e+00,1.178505371242074915e+02
1.185690636220840810e+00,1.158590898495450858e+02
1.185694137565968864e+00,1.087764297661704660e+02
1.185697434617061008e+00,1.040530561352225334e+02
1.185698351534423933e+00,1.029744162740811646e+02
1.185702565502879002e+00,9.921157288603066604e+01
1.185706779471334293e+00,9.661387891503021308e+01
1.185710993439789362e+00,9.484695228292018498e+01
1.185715207408244432e+00,9.364029067574864484e+01
1.185719421376699723e+00,9.274576432726269104e+01
1.185722064782556817e+00,9.224702242089998094e+01
1.185723635345154792e+00,9.193329673608934627e+01
