R_km,M_sun
9.934505065630842680e+00,4.664461502410823801e-01
9.977122751216732865e+00,4.662299910284082305e-01
1.001974043680262128e+01,4.664830521326117641e-01
1.006054498432209243e+01,4.670368901579459164e-01
1.006235812238850968e+01,4.670613761641904671e-01
1.010497580797439987e+01,4.679080978577911387e-01
1.014759349356028828e+01,4.690171044012860224e-01
1.019021117914617847e+01,4.704222760550444415e-01
1.023282886473206688e+01,4.721493241618477943e-01
1.027544655031795529e+01,4.741894708384474799e-01
1.027558532039195605e+01,4.741970812084069786e-01
1.031806423590384547e+01,4.764748234043081898e-01
1.036068192148973388e+01,4.789207375853333226e-01
1.040158654176130959e+01,4.813572722588680408e-01
1.040329960707562407e+01,4.814579022940433384e-01
1.044591729266151248e+01,4.840146118753941851e-01
1.048853497824740089e+01,4.866217458829110165e-01
1.051827170978121373e+01,4.885174633093289920e-01
1.053115266383329107e+01,4.893439644105288533e-01
1.057377034941917948e+01,4.922778289185595346e-01
1.061638803500506967e+01,4.955786420303579520e-01
1.061753579756540233e+01,4.956776543597900542e-01
1.065900572059095808e+01,4.993492040683067956e-01
1.069336220766955137e+01,5.028378454102511164e-01
1.070162340617684649e+01,5.037041119598496541e-01
1.074424109176273490e+01,5.086773891326421548e-01
1.075463748914220830e+01,5.099980364607120675e-01
1.078685877734862508e+01,5.142688680451479311e-01
1.080733943845692835e+01,5.171582275111731297e-01
1.082947646293451349e+01,5.204388480131176831e-01
1.085481960269397916e+01,5.243184185616341919e-01
1.087209414852040368e+01,5.271209833936988387e-01
1.089886910839785372e+01,5.314786096120951431e-01
1.091471183410629209e+01,5.342413600420741204e-01
1.094057305896563648e+01,5.386388006625562053e-01
1.095732951969218050e+01,5.417283168216938671e-01
1.098058293266798557e+01,5.457989917130172675e-01
1.099994720527807068e+01,5.495152814402366470e-01
1.101929133553759499e+01,5.529591827634783296e-01
1.104256489086395909e+01,5.575392455950376469e-01
1.105695195175211154e+01,5.601193738139392808e-01
1.108518257644985106e+01,5.657389933992793551e-01
1.109376685591260348e+01,5.672795648644003430e-01
1.112780026203573769e+01,5.740553243943278261e-01
1.112994786956780402e+01,5.744397559148615162e-01
1.116674162432075335e+01,5.815999469653223564e-01
1.117041794762162610e+01,5.823708933001731092e-01
1.120389594512497844e+01,5.887601380157834186e-01
1.121303563320751628e+01,5.906343357039370856e-01
1.124108989818906146e+01,5.959203290662444807e-01
1.125565331879340469e+01,5.988317228127920666e-01
1.127842031261102385e+01,6.030805201167054319e-01
1.129827100437929488e+01,6.069638551255905901e-01
1.131581330006519970e+01,6.102407111671664941e-01
1.134088868996518507e+01,6.151191993663417401e-01
1.135280709735648230e+01,6.174009022176276673e-01
1.138350637555107170e+01,6.235536852865800617e-01
1.138843040481982882e+01,6.245610932680885075e-01
1.142168118925053300e+01,6.317212843185495696e-01
1.142612406113696011e+01,6.327538745920235908e-01
1.145112470496524182e+01,6.388814753690106318e-01
1.146874174672285029e+01,6.438287859846166805e-01
1.147598567384620694e+01,6.460416664194716940e-01
1.149682175630753100e+01,6.532018574699326452e-01
1.151135943230874048e+01,6.591805555993479615e-01
1.151398843191421939e+01,6.603620485203937074e-01
1.152850959034785383e+01,6.675222395708547696e-01
1.154105798880318901e+01,6.746824306213157207e-01
1.155231276922742367e+01,6.818426216717767829e-01
1.155397711789462889e+01,6.829081110022869883e-01
1.156304967345062273e+01,6.890028127222377341e-01
1.157350153995003339e+01,6.961630037726989073e-01
1.158383808382734870e+01,7.033231948231598585e-01
1.159414403554400153e+01,7.104833858736209207e-01
1.159659480348051730e+01,7.121447689401915193e-01
1.160469377145528824e+01,7.176435769240819829e-01
1.161512535436817828e+01,7.248037679745429340e-01
1.162516173756958260e+01,7.319639590250039962e-01
1.163460252460390976e+01,7.391241500754650584e-01
1.163921248906640571e+01,7.429359657206379142e-01
1.164338072906619104e+01,7.462843411259261206e-01
1.165119392563669720e+01,7.534445321763871828e-01
1.165771210174045081e+01,7.606047232268481340e-01
1.166287720478579715e+01,7.677649142773091961e-01
1.166673027272293339e+01,7.749251053277701473e-01
1.166941700178290731e+01,7.820852963782312095e-01
1.167117517825678874e+01,7.892454874286922717e-01
1.167230165697847255e+01,7.964056784791532229e-01
1.167310236917875521e+01,8.035658695296142850e-01
1.167383340088111865e+01,8.107260605800753472e-01
1.167464181319018124e+01,8.178862516305362984e-01
1.167551115283249885e+01,8.250464426809973606e-01
1.167621074788826263e+01,8.322066337314584228e-01
1.167624368329799722e+01,8.393668247819194850e-01
1.167479032771422887e+01,8.465270158323804361e-01
