R_km,M_sun
1.149585394769377800e+01,1.823248278313288395e+00
1.161459956856235820e+01,1.822315605547023765e+00
1.173334518943093840e+01,1.821917165612673362e+00
1.185209081029951506e+01,1.822046428911609395e+00
1.197083643116809526e+01,1.822704702201294769e+00
1.208958205203667724e+01,1.823916948435056140e+00
1.212702265190282702e+01,1.824467733708470707e+00
1.220832767290525567e+01,1.825597862168811591e+00
1.232707329377383587e+01,1.827797412763890073e+00
1.239746744614925333e+01,1.829424528128781757e+00
1.244581891464241608e+01,1.830516636115532059e+00
1.256456453551099273e+01,1.833622245355389868e+00
1.259157722502758858e+01,1.834381322549092586e+00
1.268331015637957293e+01,1.836901494678149227e+00
1.277058231838234548e+01,1.839338116969404080e+00
1.280205577724815313e+01,1.840189642802374292e+00
1.292080139811673334e+01,1.843090075415362739e+00
1.297907737583811993e+01,1.844294911389715130e+00
1.303954701898531354e+01,1.845458424737065783e+00
1.315829263985389197e+01,1.847211954632586695e+00
1.327703826072247040e+01,1.848517754062233287e+00
1.336243259296668917e+01,1.849251705810026181e+00
1.339578388159105060e+01,1.849514720594374273e+00
1.351452950245963081e+01,1.850398011074004145e+00
1.363327512332821101e+01,1.851427397100164463e+00
1.375202074419678766e+01,1.852753646411964050e+00
1.385294806106042920e+01,1.854208500230337453e+00
1.387076636506536786e+01,1.854459197069243892e+00
1.398951198593394807e+01,1.856490431561141907e+00
1.410825760680252827e+01,1.858890524762986329e+00
1.412103477854087075e+01,1.859165294650648281e+00
1.422700322767110848e+01,1.861442288222156849e+00
1.434574884853968690e+01,1.864086672366682240e+00
1.434748239713770168e+01,1.864122089070959554e+00
1.446449446940826711e+01,1.866488744058814042e+00
1.458324009027684554e+01,1.868625282372270879e+00
1.461678858845495910e+01,1.869078883491270604e+00
1.470198571114542574e+01,1.870200039456347829e+00
1.482073133201400594e+01,1.871145884804204851e+00
1.493947695288258615e+01,1.871373150168703425e+00
1.505822257375116280e+01,1.870857686481515181e+00
1.517696819461974478e+01,1.869775655651598756e+00
1.524194084637812097e+01,1.869078883491270382e+00
1.529571381548832143e+01,1.868453005431939484e+00
1.541445943635690341e+01,1.867334577982808108e+00
1.553320505722548361e+01,1.866805045158825838e+00
1.565195067809406204e+01,1.867011466915825757e+00
1.577069629896264225e+01,1.868005661698834974e+00
1.584114026460111724e+01,1.869078883491270826e+00
1.588944191983122067e+01,1.869748598941991746e+00
1.600818754069980088e+01,1.872152181027165518e+00
1.607806080155059192e+01,1.874035677911581654e+00
1.612693316156838108e+01,1.875266960629568214e+00
1.624567878243696128e+01,1.878992472331892927e+00
1.636442440330554149e+01,1.883040152425618841e+00
1.638845556778367651e+01,1.883949266752204199e+00
1.648317002417412169e+01,1.887396520702593339e+00
1.652232590149770175e+01,1.888906061172515027e+00
1.660191564504269834e+01,1.891890476291230527e+00
1.665336797691909254e+01,1.893862855592826300e+00
1.672066126591127855e+01,1.896386344656819212e+00
1.678575448949250770e+01,1.898819650013137128e+00
1.683940688677985875e+01,1.900772983038963027e+00
1.692384397885897585e+01,1.903776444433448400e+00
1.695815250764843540e+01,1.904945961835606161e+00
1.707456493624639648e+01,1.908733238853759451e+00
1.707689812851701561e+01,1.908804403970846497e+00
1.719564374938559581e+01,1.912081888977417821e+00
1.726206353365016355e+01,1.913690033274070501e+00
1.731438937025417601e+01,1.914850058784127951e+00
1.743313499112275622e+01,1.916954538272603870e+00
1.755188061199133998e+01,1.918469183451490423e+00
1.757443376187482187e+01,1.918646827694381773e+00
1.767062623285991663e+01,1.919345472228286997e+00
1.778937185372849683e+01,1.919818048125816690e+00
1.790811747459707348e+01,1.920106080918596803e+00
1.802686309546565369e+01,1.920435791219021082e+00
1.814560871633423034e+01,1.921005282498006395e+00
1.826435433720281054e+01,1.921968364381803074e+00
1.838309995807139074e+01,1.923448072574819090e+00
1.839257354239784092e+01,1.923603622114692824e+00
1.850184557893997095e+01,1.925431635060315561e+00
1.862059119980855115e+01,1.928057206155976866e+00
1.863987457247437973e+01,1.928560416535003874e+00
1.873933682067713136e+01,1.931284867890913137e+00
1.880901826313365888e+01,1.933517210955314702e+00
1.885808244154571156e+01,1.935181768192389740e+00
1.894638630657355804e+01,1.938474005375625975e+00
1.897682806241429176e+01,1.939674663813062416e+00
1.906771265356853462e+01,1.943430799795937025e+00
1.909557368328287197e+01,1.944646830032468854e+00
1.918058406745127797e+01,1.948387594216248075e+00
1.921431930415144862e+01,1.949967245911727876e+00
1.928837684597820967e+01,1.953344388636559348e+00
1.933306492502002882e+01,1.955563685356754400e+00
1.939165444043770492e+01,1.958301183056870620e+00
1.945181054588860547e+01,1.961492847579695553e+00
1.948847024105990755e+01,1.963257977477181226e+00
1.957055616675718923e+01,1.968047859971922220e+00
1.957382416451814322e+01,1.968214771897492721e+00
1.964613497646768536e+01,1.973171566317803549e+00
1.968930178762576588e+01,1.977851113809512729e+00
1.969230116758782501e+01,1.978128360738114822e+00
1.971789302486831374e+01,1.983085155158426094e+00
1.972539873677563449e+01,1.988041949578737144e+00
1.972943804253417710e+01,1.992998743999048195e+00
1.974226962181656120e+01,1.997955538419359245e+00
1.976962297791515510e+01,2.002912332839670295e+00
1.980804740849434964e+01,2.007381586744760860e+00
1.981260745335296747e+01,2.007869127259981568e+00
1.987638954416840420e+01,2.012825921680292396e+00
1.992679302936292629e+01,2.016211976976109099e+00
1.995277910636453811e+01,2.017782716100603668e+00
2.004033532009756868e+01,2.022739510520914497e+00
2.004553865023150649e+01,2.023039719006158865e+00
2.013504011990938380e+01,2.027696304941225769e+00
2.016428427110008670e+01,2.029454226943883555e+00
2.022270578689695242e+01,2.032653099361536597e+00
2.028302989196866690e+01,2.037002081829054401e+00
2.029223381252977632e+01,2.037609893781847870e+00
2.034232084856853362e+01,2.042566688202159142e+00
2.036773349837450908e+01,2.047523482622469970e+00
2.037300874473750056e+01,2.052480277042781243e+00
2.036544292187014804e+01,2.057437071463092515e+00
2.035528432059852832e+01,2.062393865883403343e+00
2.035295739820725203e+01,2.067350660303714616e+00
2.036576448678921736e+01,2.072307454724025888e+00
2.039752299459221874e+01,2.077264249144336716e+00
2.040177551283724711e+01,2.077672924626364104e+00
2.047232009306044631e+01,2.082221043564647989e+00
2.052052113370582376e+01,2.084374249758321973e+00
2.062089352605227077e+01,2.087177837984958817e+00
2.063926675457440396e+01,2.087583198578109478e+00
2.075801237544298061e+01,2.089465657644658414e+00
2.087675799631156437e+01,2.091302252318071542e+00
2.091770622729329432e+01,2.092134632405270089e+00
2.099550361718014102e+01,2.093616160234430534e+00
2.111424923804871767e+01,2.097089000376872292e+00
2.111430734694135936e+01,2.097091426825580918e+00
2.123299485891730143e+01,2.102035921895470061e+00
2.123321476516883521e+01,2.102048221245892190e+00
2.132376617469300939e+01,2.107005015666203462e+00
