# rho_fm3 P_low_MeVfm3 P_up_MeVfm3
1.600000000000000033e-01 1.575630249999999954e-01 1.575630249999999954e-01
1.683599419200000058e-01 3.781512599999999891e-01 4.726890750000000141e-01
1.718432510400000057e-01 5.042016809999999571e-01 5.672268910000000108e-01
1.847314948800000134e-01 7.563025209999999499e-01 1.071428570999999996e+00
1.974455732800000085e-01 1.197478991999999964e+00 1.638655462000000007e+00
2.098113207999999785e-01 1.575630252000000064e+00 2.268907562999999961e+00
2.220029027200000060e-01 2.079831932999999911e+00 2.993697479000000161e+00
2.341944847999999912e-01 2.552521007999999814e+00 3.844537814999999803e+00
2.460377358399999936e-01 3.119747899000000046e+00 4.758403361000000054e+00
2.573584905599999861e-01 3.718487394999999918e+00 5.766806723000000190e+00
2.683309144000000090e-01 4.254201680999999624e+00 6.838235294000000408e+00
2.789550071999999936e-01 4.947478991999999742e+00 7.972689075999999986e+00
2.894049347200000066e-01 5.577731091999999613e+00 9.170168067000000534e+00
2.995065311999999813e-01 6.239495798000000093e+00 1.043067227000000052e+01
3.090856313600000016e-01 6.869747899000000046e+00 1.175420167999999954e+01
3.183164006399999968e-01 7.531512604999999638e+00 1.307773109000000034e+01
3.275471697599999787e-01 8.193277310999999230e+00 1.446428571000000041e+01
3.362554427200000196e-01 8.855042017000000598e+00 1.588235294000000053e+01
3.446153846400000220e-01 9.579831932999999466e+00 1.736344538000000171e+01
3.528011611200000397e-01 1.021008403000000087e+01 1.881302520999999928e+01
3.608127721599999616e-01 1.090336134000000001e+01 2.032563024999999968e+01
3.686502177600000096e-01 1.159663865999999999e+01 2.186974790000000013e+01
3.761393323200000194e-01 1.222689075999999986e+01 2.341386555000000058e+01
3.834542816000000021e-01 1.288865546000000073e+01 2.495798319000000021e+01
3.904208998400000019e-01 1.351890756000000060e+01 2.653361345000000071e+01
3.973875180800000573e-01 1.418067227000000052e+01 2.817226890999999966e+01
4.045283019199999996e-01 1.487394957999999967e+01 2.977941175999999857e+01
4.107982584000000048e-01 1.550420167999999954e+01 3.144957983000000112e+01
4.163715529600000576e-01 1.603991596999999913e+01 3.264705881999999804e+01
