# rho_fm3 e2a_low_MeV e2a_up_MeV
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000083e-02 -7.864339999999999442e+00 -6.829880000000000173e+00
8.000000000000000167e-02 -1.193550000000000111e+01 -1.126079999999999970e+01
1.199999999999999956e-01 -1.464550000000000018e+01 -1.429930000000000057e+01
1.600000000000000033e-01 -1.610000000000000142e+01 -1.590000000000000036e+01
2.000000000000000111e-01 -1.548094999999999999e+01 -1.448094999999999999e+01
2.399999999999999911e-01 -1.381949999999999967e+01 -1.279529999999999923e+01
2.800000000000000266e-01 -1.179149999999999920e+01 -9.859680000000000888e+00
3.200000000000000067e-01 -9.952590000000000714e+00 -5.550589999999999691e+00
3.599999999999999867e-01 -6.810970000000000191e+00 -1.631700000000000372e-01
4.000000000000000222e-01 -3.828129999999999811e+00 5.766469999999999985e+00
4.400000000000000022e-01 -6.240399999999999281e-01 1.294915999999999912e+01
4.799999999999999822e-01 2.521869999999999834e+00 2.108146999999999949e+01
5.200000000000000178e-01 8.885180000000001854e+00 2.979118000000000066e+01
5.600000000000000533e-01 1.462464999999999904e+01 3.804864999999999498e+01
5.999999999999999778e-01 2.178269999999999840e+01 4.733670000000000044e+01
6.400000000000000133e-01 2.856099999999999994e+01 5.634899999999999665e+01
