# m1_source_msun	m2_source_msun	lambda_1	lambda_2  (run IMRPhenomPv2NRT_lowSpin_posterior, z=0.0099)
1.393530e+00	1.331573e+00	1.168731e+03	1.692561e+02
1.390230e+00	1.334533e+00	3.397474e+02	3.549670e+01
1.605959e+00	1.161390e+00	1.788853e+02	1.354079e+02
1.494585e+00	1.243516e+00	2.335116e+02	1.709284e+03
1.424342e+00	1.303175e+00	1.119535e+03	1.937431e+02
1.382070e+00	1.342349e+00	8.470248e+02	3.024076e+02
1.392457e+00	1.332620e+00	1.702847e+02	8.592769e+02
1.449185e+00	1.281532e+00	4.917974e+02	1.395349e+03
1.590347e+00	1.172065e+00	1.653903e+02	2.358078e+02
1.401823e+00	1.323779e+00	3.409983e+02	2.008910e+02
1.459637e+00	1.272470e+00	2.027379e+02	6.235359e+02
1.561701e+00	1.192543e+00	2.516826e+02	1.309882e+02
1.424103e+00	1.303443e+00	4.971379e+02	5.030182e+02
1.438590e+00	1.290267e+00	2.933946e+02	1.677989e+02
1.433834e+00	1.294679e+00	2.573386e+02	3.356375e+02
1.503695e+00	1.236492e+00	9.056183e+02	1.155172e+02
1.376741e+00	1.348213e+00	9.344332e+00	2.239139e+03
1.447857e+00	1.282394e+00	9.628705e+02	1.705371e+02
1.555802e+00	1.196542e+00	2.657241e+02	9.956975e+01
1.489157e+00	1.248120e+00	8.461790e+02	7.402479e+02
1.475813e+00	1.258929e+00	4.384827e+02	8.520624e+02
1.421988e+00	1.305282e+00	8.020476e+02	1.063503e+02
1.383225e+00	1.341079e+00	4.210432e+01	2.254239e+02
1.537755e+00	1.209777e+00	1.117183e+02	3.613022e+02
1.412992e+00	1.313577e+00	5.319309e+01	6.654280e+02
1.484972e+00	1.251351e+00	1.068610e+03	1.038354e+03
1.533102e+00	1.213550e+00	9.443149e+01	3.535712e+02
1.442027e+00	1.287515e+00	1.322212e+02	3.045474e+02
1.375577e+00	1.349231e+00	3.277094e+02	1.049381e+03
1.535067e+00	1.212157e+00	6.767058e+02	6.073553e+02
1.597721e+00	1.167030e+00	3.367458e+00	6.244370e+02
1.415756e+00	1.310919e+00	1.091869e+02	4.233596e+02
1.438684e+00	1.290586e+00	1.486161e+03	1.109811e+02
1.424981e+00	1.302315e+00	3.598356e+02	1.132459e+02
1.384137e+00	1.340697e+00	1.904584e+02	1.259817e+03
1.415898e+00	1.310759e+00	3.835021e+02	1.414556e+02
1.431657e+00	1.296626e+00	1.533147e+02	6.000768e+02
1.375405e+00	1.348991e+00	4.049310e+02	2.557174e+02
1.415060e+00	1.311465e+00	6.877720e+02	1.450039e+02
1.612628e+00	1.156914e+00	1.622771e+02	3.626104e+02
1.460455e+00	1.271622e+00	2.092959e+02	6.164985e+02
