# m1_source_msun	m2_source_msun	lambda_1	lambda_2  (run C01:IMRPhenomPv2_NRTidal:LowSpin)
1.669119e+00	1.578839e+00	1.038513e+03	3.593444e+02
1.762452e+00	1.542211e+00	9.384512e+01	1.130019e+03
1.717603e+00	1.546699e+00	7.171383e+02	4.231828e+02
1.694701e+00	1.578228e+00	8.176947e+00	5.534975e+02
1.716111e+00	1.636347e+00	3.970264e+02	2.427106e+02
1.672638e+00	1.614208e+00	1.619211e+02	1.245765e+02
1.772896e+00	1.533555e+00	1.571829e+03	4.836952e+01
1.700381e+00	1.582402e+00	5.776125e+02	1.620755e+03
1.795400e+00	1.544962e+00	7.683490e+01	4.465052e+02
1.705327e+00	1.620608e+00	4.439681e+01	1.835673e+02
1.683449e+00	1.678343e+00	1.577674e+02	1.807614e+02
1.704000e+00	1.573526e+00	3.177485e+02	4.537070e+02
1.806839e+00	1.479284e+00	2.017228e+02	2.772412e+02
1.725413e+00	1.517608e+00	9.183244e+01	7.808528e+02
1.837043e+00	1.482553e+00	2.050605e+02	5.720794e+02
1.872318e+00	1.455854e+00	1.278413e+02	5.734064e+02
1.823646e+00	1.535026e+00	2.845609e+02	3.757166e+02
1.712593e+00	1.650628e+00	5.259178e+02	1.789735e+03
1.823602e+00	1.475033e+00	3.353183e+02	3.846255e+02
1.698872e+00	1.540464e+00	5.944298e+02	2.714764e+03
1.893023e+00	1.428539e+00	1.947017e+02	4.729185e+02
1.685060e+00	1.576094e+00	8.627240e+01	7.543493e+02
1.784245e+00	1.522338e+00	7.324267e+01	3.346520e+01
1.659748e+00	1.616781e+00	9.600197e+01	8.265296e+02
1.883492e+00	1.489374e+00	2.328777e+02	1.611495e+03
1.656423e+00	1.652642e+00	1.342665e+02	2.392067e+01
1.782138e+00	1.542103e+00	5.833547e+01	2.527441e+03
1.726751e+00	1.586655e+00	3.727547e+02	1.174527e+03
1.877471e+00	1.438719e+00	3.894214e+02	8.424900e+01
1.711844e+00	1.546529e+00	2.632761e+02	7.474689e+02
1.653218e+00	1.641547e+00	1.669065e+03	1.516998e+03
1.959635e+00	1.403976e+00	1.030054e+01	4.813341e+02
1.964989e+00	1.394458e+00	9.004746e+01	4.625077e+02
1.737974e+00	1.556904e+00	5.342934e+02	1.451168e+02
1.832755e+00	1.461626e+00	2.353939e+02	4.233325e+02
1.851058e+00	1.485901e+00	6.343461e+02	7.570241e+01
1.860132e+00	1.479633e+00	3.403945e+02	5.533957e+02
1.678894e+00	1.662494e+00	9.853706e+01	5.089731e+02
1.873251e+00	1.485718e+00	2.085365e+02	2.557873e+00
1.753654e+00	1.557234e+00	2.393219e+02	5.210722e+02
1.760339e+00	1.554218e+00	4.627515e+02	7.239945e+02
1.845303e+00	1.477634e+00	5.589243e+01	6.805824e+01
1.748189e+00	1.526005e+00	1.390829e+03	5.931933e+02
1.729305e+00	1.601878e+00	4.601190e+02	1.034523e+03
1.784739e+00	1.555225e+00	7.034453e+01	3.405811e+02
1.813678e+00	1.472535e+00	8.650016e+02	2.131318e+02
1.682275e+00	1.573863e+00	6.993783e+02	2.835762e+02
1.711321e+00	1.619854e+00	4.614443e+02	1.999007e+02
1.747664e+00	1.551516e+00	3.713501e+02	5.796251e+03
1.699886e+00	1.567919e+00	5.754278e+02	1.168520e+03
1.896616e+00	1.493339e+00	8.504773e+02	1.532288e+03
2.098672e+00	1.349224e+00	4.917719e+02	5.641333e+02
1.711370e+00	1.582183e+00	3.113732e+02	3.685759e+02
1.629357e+00	1.623649e+00	6.191967e+01	5.711496e+02
1.942731e+00	1.416137e+00	9.431323e+01	5.350722e+02
